measure,chord,note
2,F:maj,D
3,F:maj,D
3,F:maj,E
3,F:maj,C
4,F:min,D
4,F:min,E
4,F:min,C
4,F:min,D
5,F:min,D
5,F:min,C
5,F:min,A
6,C:maj,B
7,C:maj,B
7,C:maj,C
7,C:maj,A
8,C:maj,B
8,C:maj,C
8,C:maj,A
8,C:maj,B
9,A:maj,B
9,A:maj,A
9,A:maj,E
10,D:min,G
10,D:min,F
11,D:min,A
11,D:min,C
12,G:maj,E
12,G:maj,E
12,G:maj,E
12,G:maj,E
13,G:maj,E
13,G:maj,B
14,C:maj,D
14,C:maj,D
14,C:maj,D
14,C:maj,D
15,D:maj,D
15,D:maj,A
16,D:min,C
16,D:min,A
16,D:min,C
16,D:min,B
17,G:maj,B
17,G:maj,E
17,G:maj,C
18,F:maj,D
19,F:maj,D
19,F:maj,E
19,F:maj,C
20,F:min,D
20,F:min,E
20,F:min,C
20,F:min,D
21,F:min,D
21,F:min,C
21,F:min,A
22,C:maj,B
23,C:maj,B
23,C:maj,C
23,C:maj,A
24,C:maj,B
24,C:maj,C
24,C:maj,A
24,C:maj,B
25,A:maj,B
25,A:maj,A
25,A:maj,E
26,D:min,G
26,D:min,F
27,E:maj,E
27,E:maj,B
28,A:min,D
28,A:min,C
28,A:min,E
29,A:maj,E
29,A:maj,G#
29,A:maj,A
30,D:maj,D
30,D:maj,G#
30,D:maj,A
31,G:maj,E
31,G:maj,E
32,C:maj,C
33,C:maj,C
