measure,chord,note
1,G:maj,A
1,G:maj,F#
1,G:maj,F#
1,G:maj,F#
2,G:maj,E
2,G:maj,D
2,G:maj,D
2,G:maj,E
2,G:maj,F#
3,D:maj,F#
5,G:maj,G
5,G:maj,G
5,G:maj,G
5,G:maj,G
6,D:maj,A
6,D:maj,A
6,D:maj,F
6,D:maj,E
6,D:maj,D
7,A:maj,E
7,A:maj,E
7,A:maj,E
9,G:maj,F#
9,G:maj,F#
9,G:maj,F#
10,G:maj,E
10,G:maj,D
10,G:maj,D
10,G:maj,E
10,G:maj,F#
11,D:maj,F#
12,G:maj,G
12,G:maj,G
12,G:maj,A
13,D:maj,A
13,D:maj,F#
13,D:maj,E
13,D:maj,D
13,D:maj,D
14,A:maj,F#
14,A:maj,A
14,A:maj,F#
14,A:maj,B
14,A:maj,A
15,F#:min,A
15,F#:min,B
15,F#:min,A
16,D:maj,F#
16,D:maj,A
16,D:maj,A
16,D:maj,A
16,D:maj,A
17,D:maj,B
17,D:maj,A
17,D:maj,A
17,D:maj,A
17,D:maj,F#
17,D:maj,E
17,D:maj,D
18,F#:min,F#
18,F#:min,A
18,F#:min,A
18,F#:min,A
18,F#:min,A
19,F#:min,B
19,F#:min,A
19,F#:min,F#
19,F#:min,A
19,F#:min,F#
20,G:maj,E
20,G:maj,D
20,G:maj,D
20,G:maj,D
21,G:maj,E
21,G:maj,D
21,G:maj,D
21,G:maj,E
21,G:maj,D
21,G:maj,D
22,E:min,E
22,E:min,F#
23,G:maj,G
23,G:maj,A
23,G:maj,B
23,G:maj,A
24,D:maj,F#
24,D:maj,A
24,D:maj,A
24,D:maj,A
24,D:maj,A
25,D:maj,B
25,D:maj,A
25,D:maj,F#
25,D:maj,A
25,D:maj,F#
25,D:maj,E
25,D:maj,D
26,F#:min,A
26,F#:min,A
26,F#:min,A
27,F#:min,B
27,F#:min,A
27,F#:min,F#
27,F#:min,A
27,F#:min,F#
27,F#:min,F#
28,G:maj,E
28,G:maj,D
28,G:maj,D
29,E:min,F#
29,E:min,E
29,E:min,F#
30,D:maj,F#
30,D:maj,E
30,D:maj,D
32,G:maj,A
32,G:maj,G
32,G:maj,E
32,G:maj,G
32,G:maj,G
32,G:maj,D
33,G:maj,G
33,G:maj,G
33,G:maj,A
33,G:maj,G
33,G:maj,B
34,E:min,E
34,E:min,E
34,E:min,F#
34,E:min,F#
34,E:min,F#
35,G:maj,G
35,G:maj,A
35,G:maj,B
35,G:maj,C#
35,G:maj,B
36,A:maj,A
36,A:maj,B
36,A:maj,A
36,A:maj,F#
37,A:maj,B
37,A:maj,A
38,D:maj,F#
38,D:maj,A
38,D:maj,A
38,D:maj,A
38,D:maj,A
39,D:maj,B
39,D:maj,A
39,D:maj,A
39,D:maj,A
39,D:maj,F#
39,D:maj,E
39,D:maj,D
40,F#:min,F#
40,F#:min,A
40,F#:min,A
40,F#:min,A
40,F#:min,A
41,F#:min,B
41,F#:min,A
41,F#:min,F#
41,F#:min,A
41,F#:min,F#
42,G:maj,E
42,G:maj,D
42,G:maj,D
42,G:maj,D
43,G:maj,E
43,G:maj,D
43,G:maj,D
43,G:maj,E
43,G:maj,D
43,G:maj,D
44,E:min,E
44,E:min,F#
45,G:maj,G
45,G:maj,A
45,G:maj,B
45,G:maj,A
