measure,chord,note
2,C:maj,E
2,C:maj,D#
2,C:maj,E
2,C:maj,D
2,C:maj,E
2,C:maj,C
2,C:maj,G
3,C:maj,G
3,C:maj,G
3,C:maj,E
3,C:maj,C
3,C:maj,G
4,G:maj,A
4,G:maj,G
4,G:maj,A
4,G:maj,A#
4,G:maj,B
5,G:maj,B
5,G:maj,F
5,G:maj,E
6,G:maj,F
6,G:maj,E
6,G:maj,F
6,G:maj,F#
6,G:maj,G
6,G:maj,C
6,G:maj,G
7,G:maj,D
7,G:maj,E
7,G:maj,D#
8,C:maj,E
8,C:maj,D#
8,C:maj,E
8,C:maj,D
8,C:maj,E
8,C:maj,C
8,C:maj,G
9,C:maj,G
9,C:maj,C
9,C:maj,E
9,C:maj,G
10,F:maj,A
10,F:maj,G
10,F:maj,A
10,F:maj,C
11,F:maj,D#
11,F:maj,A
12,C:maj,A
12,C:maj,G
12,C:maj,G
12,C:maj,G
12,C:maj,F#
12,C:maj,F
12,C:maj,E
13,A:maj,E
13,A:maj,D#
14,D:maj,E
14,D:maj,A
14,D:maj,D#
14,D:maj,E
14,D:maj,A
14,D:maj,D#
15,D:maj,E
15,D:maj,E
15,D:maj,E
15,D:maj,E
15,D:maj,F
15,D:maj,D
16,G:maj,A
16,G:maj,G
16,G:maj,A
16,G:maj,G
16,G:maj,A
16,G:maj,G
16,G:maj,A
16,G:maj,G
17,C:maj,A
17,C:maj,G
17,C:maj,E
17,C:maj,C
17,C:maj,G
18,B:maj,G
18,B:maj,C
18,B:maj,G
18,B:maj,E
19,C:maj,E
19,C:maj,C
19,C:maj,A
19,C:maj,C
19,C:maj,B
19,C:maj,A
20,G:maj,G
21,G:maj,G
21,G:maj,E
21,G:maj,F
21,G:maj,E
21,G:maj,F
21,G:maj,F
21,G:maj,F#
22,G:maj,G
22,G:maj,D
23,F:maj,D
23,F:maj,C#
23,F:maj,D
23,F:maj,C
23,F:maj,D
23,F:maj,D#
24,E:maj,E
25,C:maj,E
25,C:maj,E
25,C:maj,F
25,C:maj,G
26,F:maj,A
26,F:maj,G
26,F:maj,A
26,F:maj,C
27,F:maj,D#
27,F:maj,A
27,F:maj,A
28,C:maj,G
28,C:maj,G
28,C:maj,F#
28,C:maj,G
28,C:maj,G#
29,A:maj,A
29,A:maj,A
29,A:maj,A
29,A:maj,A
29,A:maj,G
29,A:maj,E
30,D:maj,E
30,D:maj,C
30,D:maj,E
30,D:maj,C
30,D:maj,E
30,D:maj,D
31,G:maj,G
31,G:maj,G
31,G:maj,G
31,G:maj,A
31,G:maj,G
31,G:maj,A
32,C:maj,E
32,C:maj,C
32,C:maj,C
33,D:min,C
