measure,chord,note
1,G:maj,A#
1,G:maj,G
1,G:maj,B
1,G:maj,G
1,G:maj,E
1,G:maj,A
2,D:min,E
2,D:min,C#
2,D:min,F
2,D:min,D
2,D:min,A
2,D:min,A#
2,D:min,G
3,G:maj,A#
3,G:maj,G
3,G:maj,B
3,G:maj,G
3,G:maj,E
3,G:maj,G
4,G:maj,A#
4,G:maj,G
4,G:maj,B
4,G:maj,G
4,G:maj,E
4,G:maj,C
5,F:maj,D
5,F:maj,C
5,F:maj,D#
5,F:maj,C
5,F:maj,E
5,F:maj,F
5,F:maj,G
5,F:maj,A
5,F:maj,B
5,F:maj,C
6,F:maj,D
6,F:maj,C
6,F:maj,A
6,F:maj,G
6,F:maj,A
6,F:maj,A
6,F:maj,G
7,G:maj,A#
7,G:maj,G
7,G:maj,B
7,G:maj,G
7,G:maj,E
7,G:maj,G
8,G:maj,A#
8,G:maj,G
8,G:maj,B
8,G:maj,G
8,G:maj,E
8,G:maj,C
9,F:maj,D
9,F:maj,C
9,F:maj,D#
9,F:maj,C
9,F:maj,E
9,F:maj,F
9,F:maj,G
9,F:maj,A
9,F:maj,B
9,F:maj,C
10,F:maj,D
10,F:maj,C
10,F:maj,A
10,F:maj,G
10,F:maj,A
10,F:maj,A
10,F:maj,G#
11,E:maj,B
11,E:maj,G#
11,E:maj,F#
11,E:maj,E
11,E:maj,F#
11,E:maj,A
11,E:maj,G#
12,E:maj,B
12,E:maj,G#
12,E:maj,F#
12,E:maj,E
12,E:maj,C
12,E:maj,C
13,C:maj,C
13,C:maj,G
13,C:maj,E
13,C:maj,F
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,G
14,C:maj,C
15,C#:maj,C
16,C:maj,E
16,C:maj,E
17,C#:maj,F
17,C#:maj,F
18,C:maj,G
18,C:maj,F
18,C:maj,E
19,C#:maj,F
19,C#:maj,G
19,C#:maj,A#
19,C#:maj,G
20,C:maj,G
21,C#:maj,G
22,C:maj,G
22,C:maj,F
22,C:maj,E
23,C#:maj,F
23,C#:maj,G
23,C#:maj,A#
23,C#:maj,G
24,C:maj,G
25,C#:maj,G
26,C:maj,G
26,C:maj,F
26,C:maj,E
27,C#:maj,F
27,C#:maj,G
27,C#:maj,F
27,C#:maj,E
28,C:maj,F
28,C:maj,G
28,C:maj,F
28,C:maj,E
29,C#:maj,F
29,C#:maj,G
30,C:maj,C
30,C:maj,G
30,C:maj,F
31,C#:maj,G
31,C#:maj,C
31,C#:maj,C
31,C#:maj,C
32,C:maj,C
33,C#:maj,C
36,C:maj,G
36,C:maj,F
36,C:maj,E
37,C#:maj,F
37,C#:maj,G
37,C#:maj,A#
37,C#:maj,G
38,C:maj,G
39,C#:maj,G
40,C:maj,G
40,C:maj,F
40,C:maj,E
41,C#:maj,F
41,C#:maj,G
41,C#:maj,A#
41,C#:maj,G
42,C:maj,G
43,C#:maj,G
44,C:maj,G
44,C:maj,F
44,C:maj,E
45,C#:maj,F
45,C#:maj,G
45,C#:maj,F
45,C#:maj,E
46,C:maj,F
46,C:maj,G
46,C:maj,F
46,C:maj,E
47,C#:maj,F
47,C#:maj,G
48,C:maj,C
48,C:maj,G
48,C:maj,F
49,C#:maj,G
49,C#:maj,C
49,C#:maj,C
49,C#:maj,C
50,C:maj,C
51,C#:maj,C
53,G#:maj,C
54,C:maj,C
54,C:maj,D
54,C:maj,E
54,C:maj,F
55,G:maj,E
55,G:maj,D
56,C:maj,C
56,C:maj,C
57,C:maj,C
57,C:maj,C
57,C:maj,C
57,C:maj,C
58,G:min,G
59,A:min,G
59,A:min,C
59,A:min,C
59,A:min,C
60,D:maj,F#
61,D:maj,F#
61,D:maj,D#
62,G:min,D
62,G:min,G
62,G:min,A
62,G:min,G
63,G:min,A#
63,G:min,G
63,G:min,G
64,G:min,C
64,G:min,G
64,G:min,G
65,G#:maj,A#
65,G#:maj,G
66,D#:min,A
66,D#:min,F
66,D#:min,F
67,A:maj,A
67,A:maj,A
67,A:maj,E
68,F:maj,G
69,C:min,G
69,C:min,F
70,C:maj,G
70,C:maj,F
70,C:maj,E
71,C#:maj,F
71,C#:maj,G
71,C#:maj,A#
71,C#:maj,G
72,C:maj,G
73,C#:maj,G
74,C:maj,G
74,C:maj,F
74,C:maj,E
75,C#:maj,F
75,C#:maj,G
75,C#:maj,A#
75,C#:maj,G
76,C:maj,G
77,C#:maj,G
78,C:maj,G
78,C:maj,F
78,C:maj,E
79,C#:maj,F
79,C#:maj,G
79,C#:maj,F
79,C#:maj,E
80,C:maj,F
80,C:maj,G
80,C:maj,F
80,C:maj,E
81,C#:maj,F
81,C#:maj,G
82,C:maj,C
82,C:maj,G
82,C:maj,F
83,C#:maj,G
83,C#:maj,C
84,C:maj,C
84,C:maj,G
84,C:maj,F
85,C#:maj,G
85,C#:maj,C
86,C:maj,C
86,C:maj,G
86,C:maj,F
87,C#:maj,G
87,C#:maj,C
87,C#:maj,C
87,C#:maj,C
88,C:maj,C
89,C#:maj,C
90,C:maj,C
91,C#:maj,C
92,C:maj,C
93,C#:maj,C
94,C:maj,C
