measure,chord,note
1,C:maj,G
1,C:maj,E
1,C:maj,E
2,C:maj,G
2,C:maj,E
2,C:maj,G
3,C:maj,C
3,C:maj,B
3,C:maj,A
4,G:maj,A
4,G:maj,G
4,G:maj,D
4,G:maj,E
5,G:maj,F
5,G:maj,D
5,G:maj,D
5,G:maj,E
6,G:maj,F
6,G:maj,D
6,G:maj,F
7,G:maj,B
7,G:maj,A
7,G:maj,G
7,G:maj,B
8,C:maj,C
8,C:maj,C
8,C:maj,C
9,F:maj,C
9,F:maj,A
9,F:maj,F
10,C:maj,G
10,C:maj,E
10,C:maj,C
11,G:maj,F
11,G:maj,G
11,G:maj,A
12,C:maj,E
12,C:maj,G
12,C:maj,C
12,C:maj,C
13,F:maj,C
13,F:maj,A
13,F:maj,F
14,C:maj,G
14,C:maj,E
14,C:maj,C
15,G:maj,F
15,G:maj,E
15,G:maj,D
16,C:maj,C
16,C:maj,E
16,C:maj,E
17,C:maj,G
17,C:maj,E
17,C:maj,E
18,C:maj,G
18,C:maj,E
18,C:maj,G
19,C:maj,C
19,C:maj,B
19,C:maj,A
20,G:maj,A
20,G:maj,G
20,G:maj,D
20,G:maj,E
21,G:maj,F
21,G:maj,D
21,G:maj,D
21,G:maj,E
22,G:maj,F
22,G:maj,D
22,G:maj,F
23,G:maj,B
23,G:maj,A
23,G:maj,G
23,G:maj,B
24,C:maj,C
24,C:maj,C
24,C:maj,C
25,F:maj,C
25,F:maj,A
25,F:maj,F
26,C:maj,G
26,C:maj,E
26,C:maj,C
27,G:maj,F
27,G:maj,G
27,G:maj,A
28,C:maj,E
28,C:maj,G
28,C:maj,C
28,C:maj,C
29,F:maj,C
29,F:maj,A
29,F:maj,F
30,C:maj,G
30,C:maj,E
30,C:maj,C
31,G:maj,F
31,G:maj,E
31,G:maj,D
32,C:maj,C
