measure,chord,note
2,C:maj,A
2,C:maj,A
3,C:maj,E
3,C:maj,G
4,D:min,A
4,D:min,A
5,D:min,D
5,D:min,F
6,G:maj,A
6,G:maj,A
7,G:maj,D
7,G:maj,F
8,C:maj,A
9,C:maj,A
9,C:maj,G
9,C:maj,B
10,A:min,D
10,A:min,C
10,A:min,C
11,A:min,C
11,A:min,B
11,A:min,A
12,D:min,C
12,D:min,D
12,D:min,D
13,D:min,D
13,D:min,E
13,D:min,F
14,D:min,C
14,D:min,D
14,D:min,D
15,G:maj,D
15,G:maj,C
15,G:maj,B
16,C:maj,A
17,A#:maj,E
17,A#:maj,G
18,C:maj,A
18,C:maj,A
19,C:maj,E
19,C:maj,G
20,D:min,A
20,D:min,A
21,D:min,D
21,D:min,F
22,G:maj,A
22,G:maj,A
23,G:maj,D
23,G:maj,F
24,C:maj,A
25,C:maj,A
25,C:maj,G
25,C:maj,B
26,A:min,D
26,A:min,C
26,A:min,C
27,A:min,C
27,A:min,B
27,A:min,A
28,D:min,C
28,D:min,D
28,D:min,D
29,D:min,D
29,D:min,E
29,D:min,F
30,D:min,C
30,D:min,D
30,D:min,D
31,G:maj,D
31,G:maj,C
31,G:maj,B
32,C:maj,A
33,B:maj,E
33,B:maj,G
34,C:maj,A
34,C:maj,A
35,C:maj,E
35,C:maj,G
36,D:min,A
36,D:min,A
37,D:min,D
37,D:min,F
38,G:maj,A
38,G:maj,A
39,G:maj,D
39,G:maj,F
40,C:maj,A
41,C:maj,A
41,C:maj,G
41,C:maj,B
42,A:min,D
42,A:min,C
42,A:min,C
43,A:min,C
43,A:min,B
43,A:min,A
44,D:min,C
44,D:min,D
44,D:min,D
45,D:min,D
45,D:min,E
45,D:min,F
46,D:min,C
46,D:min,D
46,D:min,D
47,G:maj,D
47,G:maj,C
47,G:maj,B
48,C:maj,A
49,A#:maj,E
49,A#:maj,G
50,C:maj,A
50,C:maj,A
51,C:maj,E
51,C:maj,G
52,D:min,A
52,D:min,A
53,D:min,D
53,D:min,F
54,G:maj,A
54,G:maj,A
55,G:maj,D
55,G:maj,F
56,C:maj,A
57,C:maj,A
57,C:maj,G
57,C:maj,B
58,A:min,D
58,A:min,C
58,A:min,C
59,A:min,C
59,A:min,B
59,A:min,A
60,D:min,C
60,D:min,D
60,D:min,D
61,D:min,D
61,D:min,E
61,D:min,F
62,D:min,C
62,D:min,D
62,D:min,D
63,G:maj,D
63,G:maj,C
63,G:maj,B
64,C:maj,A
