measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,C
3,C:maj,G
3,C:maj,G
3,C:maj,C
4,G:maj,D
4,G:maj,D
5,G:maj,D
5,G:maj,D
5,G:maj,D
5,G:maj,D
5,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,D
7,C:maj,C
7,C:maj,C
7,C:maj,D
8,C:maj,E
8,C:maj,E
9,C:maj,G
9,C:maj,G
9,C:maj,G
9,C:maj,G
9,C:maj,E
10,G:maj,F
10,G:maj,F
10,G:maj,F
10,G:maj,D
11,C:maj,E
11,C:maj,E
11,C:maj,E
11,C:maj,E
11,C:maj,C
12,G:maj,D
12,G:maj,B
12,G:maj,G
12,G:maj,E
12,G:maj,F
13,C:maj,G
13,C:maj,E
13,C:maj,G
13,C:maj,E
14,D:maj,A
14,D:maj,B
15,C:maj,C
16,C:maj,C
