measure,chord,note
2,C:maj,A
2,C:maj,G
2,C:maj,E
3,C#:min,A
3,C#:min,G
3,C#:min,G
3,C#:min,A
4,G:maj,G
4,G:maj,F
4,G:maj,D
5,G:maj,B
5,G:maj,D
5,G:maj,F
6,G:maj,B
6,G:maj,A
6,G:maj,G
7,G:maj,B
7,G:maj,A
7,G:maj,G
8,C:maj,A
8,C:maj,B
8,C:maj,A
8,C:maj,G
9,C:maj,E
9,C:maj,E
9,C:maj,G
10,C:maj,D
10,C:maj,C
10,C:maj,B
11,C:maj,D
11,C:maj,B
11,C:maj,D
12,F:maj,D
12,F:maj,E
12,F:maj,D
13,F:maj,A
13,F:maj,A
13,F:maj,B
14,F#:min,D
14,F#:min,C
14,F#:min,A
15,C:maj,G
15,C:maj,E
15,C:maj,E
15,C:maj,G
16,G:maj,F
16,G:maj,E
16,G:maj,D
17,F:maj,C
18,C:maj,G
18,C:maj,E
18,C:maj,E
18,C:maj,E
18,C:maj,E
19,C:maj,E
19,C:maj,C
20,F:maj,D
20,F:maj,C
21,F:maj,G
22,D:min,F
22,D:min,D
22,D:min,D
22,D:min,D
22,D:min,D
23,G:maj,D
23,G:maj,A
23,G:maj,A
24,C:maj,G
25,G:maj,G
26,A:min,E
26,A:min,C
26,A:min,C
26,A:min,C
26,A:min,C
27,A:min,C
27,A:min,A
28,D:min,B
28,D:min,A
29,D:min,F
29,D:min,E
30,G:maj,D
30,G:maj,E
30,G:maj,F
31,G:maj,G
31,G:maj,E
31,G:maj,D
32,C:maj,C
