measure,chord,note
1,G:maj,E
1,G:maj,G
2,C:maj,A
2,C:maj,A
2,C:maj,A
3,G:maj,B
3,G:maj,B
4,C:maj,G
5,C:maj,G
5,C:maj,E
5,C:maj,G
6,C:maj,A
6,C:maj,A
6,C:maj,A
7,B:maj,B
7,B:maj,B
8,E:maj,E
9,E:maj,E
9,E:maj,E
9,E:maj,E
10,E:min,B
10,E:min,B
11,A:maj,A
11,A:maj,D#
11,A:maj,E
12,G:min,G
12,G:min,G
13,D:min,F
13,D:min,A
13,D:min,C
14,D:maj,E
14,D:maj,D
14,D:maj,C
15,G:maj,G
15,G:maj,G
16,C:maj,G
17,C#:maj,G
17,C#:maj,A
18,F:maj,C
19,F:maj,C
19,F:maj,A
19,F:maj,C
19,F:maj,A
20,F:maj,C
21,C:maj,A
21,C:maj,G#
22,C:maj,G
23,C:maj,G
23,C:maj,E
23,C:maj,G
23,C:maj,E
24,C:maj,G
25,G#:maj,E
25,G#:maj,D#
26,G:maj,D
27,G:maj,D
27,G:maj,E
27,G:maj,G
27,G:maj,F
28,D:min,A
29,G:maj,B
29,G:maj,G
30,C:maj,C
30,C:maj,E
31,G:maj,D
31,G:maj,F
32,C:maj,E
32,C:maj,G
33,C:maj,G#
33,C:maj,A
34,F:maj,C
35,F:maj,C
35,F:maj,A
35,F:maj,C
35,F:maj,A
36,F:maj,C
37,D:maj,A
37,D:maj,G#
38,C:maj,G
39,C:maj,G
39,C:maj,E
39,C:maj,G
39,C:maj,E
40,C:maj,G
41,G#:maj,E
41,G#:maj,D#
42,G:maj,D
43,G:maj,D
43,G:maj,E
43,G:maj,G
43,G:maj,F
44,D:min,A
45,G:maj,B
45,G:maj,G
46,C:maj,E
47,G:maj,E
47,G:maj,A
48,C:maj,C
49,C#:maj,C
49,C#:maj,A
50,C:maj,C
51,B:maj,C
