measure,chord,note
1,C:maj,G
1,C:maj,F#
1,C:maj,G
2,G:maj,G
2,G:maj,F#
2,G:maj,G
3,C:maj,C
3,C:maj,B
3,C:maj,C
4,A:maj,G
5,D:min,F
5,D:min,E
5,D:min,D
6,G:maj,E
6,G:maj,D
7,C:maj,C
7,C:maj,B
7,C:maj,A
8,G:maj,B
8,G:maj,A
9,C:maj,G
9,C:maj,F#
9,C:maj,G
10,G:maj,G
10,G:maj,F#
10,G:maj,G
11,C:maj,C
11,C:maj,B
11,C:maj,C
12,A:maj,A
12,A:maj,G
13,D:min,F
13,D:min,C#
13,D:min,D
14,G:maj,E
14,G:maj,D
15,C:maj,C
16,D:maj,A
16,D:maj,D
17,C:maj,C
18,C:maj,C
19,G:maj,B
19,G:maj,F#
19,G:maj,E
20,D:maj,D
20,D:maj,A
20,D:maj,B
21,D:maj,C
21,D:maj,D
21,D:maj,E
21,D:maj,F#
22,G:maj,G
22,G:maj,G
23,G:min,B
23,G:min,D
23,G:min,F#
23,G:min,E
24,D:maj,D
24,D:maj,A
24,D:maj,B
25,D:maj,C
25,D:maj,D
25,D:maj,E
25,D:maj,F#
26,G:maj,G
26,G:maj,G
27,C:min,G
27,C:min,A#
27,C:min,G#
28,G:maj,G
28,G:maj,G
28,G:maj,G
29,C:min,G
29,C:min,A#
29,C:min,G#
30,G:maj,G
30,G:maj,G
31,C:min,G
31,C:min,A#
31,C:min,G#
32,G:maj,G
32,G:maj,A#
32,G:maj,G#
33,G:maj,G
34,C:maj,G
34,C:maj,F#
34,C:maj,G
35,G:maj,G
35,G:maj,F#
35,G:maj,G
36,C:maj,C
36,C:maj,B
36,C:maj,C
37,A:maj,G
38,D:min,F
38,D:min,E
38,D:min,D
39,G:maj,E
39,G:maj,D
40,C:maj,C
40,C:maj,B
40,C:maj,A
41,G:maj,B
41,G:maj,A
42,C:maj,G
42,C:maj,F#
42,C:maj,G
43,G:maj,G
43,G:maj,F#
43,G:maj,G
44,C:maj,C
44,C:maj,B
44,C:maj,C
45,A:maj,A
45,A:maj,G
46,D:min,F
46,D:min,C#
46,D:min,D
47,G:maj,E
47,G:maj,D
48,C:maj,C
49,C:maj,C
