measure,chord,note
1,C:maj,G
1,C:maj,E
1,C:maj,E
2,C:maj,G
2,C:maj,E
2,C:maj,E
3,F:maj,C
3,F:maj,C
3,F:maj,B
4,F:maj,B
4,F:maj,C
4,F:maj,B
4,F:maj,A
5,G:maj,B
5,G:maj,B
5,G:maj,C
6,G:maj,D
6,G:maj,B
6,G:maj,A
7,C:maj,A
7,C:maj,B
7,C:maj,A
7,C:maj,G
8,G:maj,G
9,C:maj,G
9,C:maj,E
9,C:maj,E
10,C:maj,G
10,C:maj,E
10,C:maj,E
11,F:maj,C
11,F:maj,C
11,F:maj,B
12,F:maj,B
12,F:maj,C
12,F:maj,B
12,F:maj,A
13,G:maj,B
13,G:maj,B
13,G:maj,C
14,G:maj,D
14,G:maj,C
14,G:maj,B
15,C:maj,D
15,C:maj,E
15,C:maj,D
15,C:maj,C
16,C:maj,C
16,C:maj,C
17,F:maj,C
17,F:maj,B
17,F:maj,C
17,F:maj,D
18,F:maj,C
18,F:maj,A
19,C:maj,G
19,C:maj,F#
19,C:maj,G
19,C:maj,A
20,C:maj,G
20,C:maj,F#
20,C:maj,G
21,G:maj,B
21,G:maj,A
21,G:maj,G
22,G:maj,F
22,G:maj,G
22,G:maj,F
22,G:maj,E
22,G:maj,F
23,C:maj,A
23,C:maj,G
24,C:maj,G
24,C:maj,C
25,F:maj,C
25,F:maj,B
25,F:maj,C
25,F:maj,D
26,F:maj,C
26,F:maj,A
27,C:maj,G
27,C:maj,F#
27,C:maj,G
27,C:maj,A
28,C:maj,G
29,D:maj,A
29,D:maj,A
29,D:maj,A
30,D:maj,A
30,D:maj,B
30,D:maj,C
31,G:maj,D
32,G:maj,D
33,C:maj,G
33,C:maj,E
33,C:maj,E
34,C:maj,G
34,C:maj,E
34,C:maj,E
35,F:maj,C
35,F:maj,C
35,F:maj,B
36,F:maj,B
36,F:maj,C
36,F:maj,B
36,F:maj,A
37,G:maj,B
37,G:maj,B
37,G:maj,C
38,G:maj,D
38,G:maj,B
38,G:maj,A
39,C:maj,A
39,C:maj,B
39,C:maj,A
39,C:maj,G
40,G:maj,G
41,C:maj,G
41,C:maj,E
41,C:maj,E
42,C:maj,G
42,C:maj,E
42,C:maj,E
43,F:maj,C
43,F:maj,C
43,F:maj,B
44,F:maj,B
44,F:maj,C
44,F:maj,B
44,F:maj,A
45,G:maj,B
45,G:maj,B
45,G:maj,C
46,G:maj,D
46,G:maj,C
46,G:maj,B
47,C:maj,D
47,C:maj,E
47,C:maj,D
47,C:maj,C
48,C:maj,C
