measure,chord,note
1,A:min,A
1,A:min,A
1,A:min,C
1,A:min,B
2,E:maj,G#
2,E:maj,E
3,A:min,G
3,A:min,G
3,A:min,A
3,A:min,G
4,E:maj,E
5,D:min,D
5,D:min,D
5,D:min,F
5,D:min,E
6,A:maj,C#
6,A:maj,A
7,D:min,C
7,D:min,C
7,D:min,D
7,D:min,C
8,E:maj,G#
9,F:maj,A
9,F:maj,A
9,F:maj,B
9,F:maj,C
10,F:min,G#
11,C:maj,C
11,C:maj,C
11,C:maj,D
11,C:maj,E
12,E:maj,C
13,A#:maj,D
13,A#:maj,D
13,A#:maj,E
13,A#:maj,F
14,D:min,D
14,D:min,D
14,D:min,E
14,D:min,F
15,D:min,E
16,D:min,E
17,A:min,A
17,A:min,A
17,A:min,C
17,A:min,B
18,E:maj,G#
18,E:maj,E
19,A:min,G
19,A:min,G
19,A:min,A
19,A:min,G
20,E:maj,E
21,D:min,D
21,D:min,D
21,D:min,F
21,D:min,E
22,A:maj,C#
22,A:maj,A
23,D:min,C
23,D:min,C
23,D:min,D
23,D:min,C
24,E:maj,G#
25,F:maj,A
25,F:maj,A
25,F:maj,B
25,F:maj,C
26,F:min,G#
27,C:maj,C
27,C:maj,C
27,C:maj,D
27,C:maj,E
28,E:maj,C
29,A#:maj,D
29,A#:maj,D
29,A#:maj,E
29,A#:maj,F
30,D:min,D
30,D:min,D
30,D:min,E
30,D:min,F
31,E:maj,E
32,E:maj,E
33,A:min,A
33,A:min,A
33,A:min,C
33,A:min,B
34,E:maj,G#
34,E:maj,E
35,A:maj,G
35,A:maj,G
35,A:maj,A
35,A:maj,G
36,E:maj,E
37,D:min,D
37,D:min,D
37,D:min,F
37,D:min,E
38,A:maj,C#
38,A:maj,A
39,E:maj,C
39,E:maj,G#
40,A:min,A
