measure,chord,note
5,C:maj,A
5,C:maj,G
5,C:maj,E
5,C:maj,D
5,C:maj,C
5,C:maj,D
6,F:maj,C
7,F:maj,C
7,F:maj,A
7,F:maj,C
7,F:maj,E
8,C:maj,E
9,C:maj,E
10,G:maj,G
10,G:maj,G
10,G:maj,B
10,G:maj,G
10,G:maj,G
10,G:maj,B
10,G:maj,A
11,F:maj,A
11,F:maj,F
11,F:maj,G
11,F:maj,F
12,A:min,C
12,A:min,C
12,A:min,B
12,A:min,A
12,A:min,A
12,A:min,G
12,A:min,D
13,G:maj,D
13,G:maj,G
13,G:maj,G
13,G:maj,C
13,G:maj,C
13,G:maj,E
13,G:maj,A
14,C:maj,A
14,C:maj,G
14,C:maj,G
15,C:maj,G
15,C:maj,C
15,C:maj,B
15,C:maj,G
16,E:min,G
17,E:min,G
17,E:min,B
17,E:min,G
17,E:min,D
18,A:min,C
19,G:maj,C
19,G:maj,D
20,C:maj,E
20,C:maj,F
20,C:maj,E
20,C:maj,E
20,C:maj,F
20,C:maj,E
21,G:maj,D
22,G:maj,D
22,G:maj,G
23,G:maj,D
23,G:maj,G
24,C:maj,E
24,C:maj,E
24,C:maj,F
24,C:maj,E
24,C:maj,E
24,C:maj,G
24,C:maj,G
24,C:maj,E
25,C:maj,E
25,C:maj,E
25,C:maj,F
25,C:maj,E
25,C:maj,C
26,C:maj,F
26,C:maj,E
26,C:maj,F
26,C:maj,E
26,C:maj,E
26,C:maj,C
27,C:maj,A
27,C:maj,G
27,C:maj,E
27,C:maj,D
27,C:maj,C
27,C:maj,D
28,F:maj,C
28,F:maj,A
28,F:maj,G
28,F:maj,A
28,F:maj,F
29,F:maj,F
29,F:maj,F
29,F:maj,F
30,C:maj,C
30,C:maj,A
30,C:maj,G
30,C:maj,A
31,C:maj,A
31,C:maj,G
31,C:maj,G
32,G:maj,G
32,G:maj,G
32,G:maj,B
32,G:maj,G
32,G:maj,G
32,G:maj,B
32,G:maj,A
33,F:maj,A
33,F:maj,F
33,F:maj,G
33,F:maj,F
34,A:min,C
34,A:min,C
34,A:min,B
34,A:min,A
34,A:min,A
34,A:min,G
34,A:min,D
35,G:maj,D
35,G:maj,G
35,G:maj,G
35,G:maj,C
35,G:maj,C
35,G:maj,E
35,G:maj,A
36,C:maj,A
36,C:maj,G
36,C:maj,G
