measure,chord,note
1,C:maj,E
1,C:maj,D#
1,C:maj,E
2,C:min,D#
2,C:min,E
2,C:min,C
3,C:min,C
3,C:min,E
3,C:min,D#
3,C:min,E
4,F:maj,D
4,F:maj,C
4,F:maj,A
5,F:maj,A
5,F:maj,C
5,F:maj,D
5,F:maj,D#
6,C:maj,E
6,C:maj,G
7,A:min,C
7,A:min,E
8,D:maj,E
8,D:maj,D
8,D:maj,D
8,D:maj,C#
9,G:maj,D
9,G:maj,E
9,G:maj,F
9,G:maj,F#
10,C:maj,G
10,C:maj,C
10,C:maj,C
11,C:maj,C
11,C:maj,E
11,C:maj,F
11,C:maj,F#
12,F:maj,G
12,F:maj,C
12,F:maj,C
13,A#:maj,C
13,A#:maj,E
13,A#:maj,F
13,A#:maj,F#
14,C:maj,G
14,C:maj,C
14,C:maj,C
15,A:min,C
15,A:min,E
16,D:maj,E
16,D:maj,D
16,D:maj,D
16,D:maj,C#
17,G:maj,D
17,G:maj,E
17,G:maj,D#
17,G:maj,E
18,C:min,D#
18,C:min,E
18,C:min,C
19,C:min,C
19,C:min,E
19,C:min,D#
19,C:min,E
20,F:maj,D
20,F:maj,C
20,F:maj,A
21,F:maj,A
21,F:maj,C
21,F:maj,D
21,F:maj,D#
22,C:maj,E
22,C:maj,G
23,A:min,C
23,A:min,E
24,D:maj,C
24,D:maj,B
24,D:maj,A
24,D:maj,B
25,C:maj,C
25,C:maj,C
26,C:min,C
26,C:min,G
26,C:min,G
26,C:min,B
27,G:maj,B
27,G:maj,C
28,C:min,C
28,C:min,G
28,C:min,G
28,C:min,B
29,G:maj,B
29,G:maj,C
30,C:min,D
30,C:min,C
30,C:min,D
30,C:min,C
31,C:min,D
31,C:min,A#
32,A#:maj,C
32,A#:maj,A#
32,A#:maj,C
32,A#:maj,A#
33,A#:maj,C
33,A#:maj,C
34,C:min,C
34,C:min,G
34,C:min,G
34,C:min,B
35,G:maj,B
35,G:maj,C
36,C:min,C
36,C:min,G
36,C:min,G
36,C:min,A#
37,A#:maj,A#
37,A#:maj,G#
38,G#:maj,G#
38,G#:maj,D#
38,G#:maj,D#
38,G#:maj,G
39,G:maj,G
39,G:maj,G#
40,G#:maj,G#
40,G#:maj,G#
40,G#:maj,G#
40,G#:maj,B
41,G:maj,A
42,C:maj,D#
42,C:maj,D
42,C:maj,D#
