measure,chord,note
2,C:maj,B
2,C:maj,A
3,C:maj,A
4,F#:min,B
4,F#:min,B
4,F#:min,A
4,F#:min,B
5,B:maj,B
6,E:maj,C
6,E:maj,C
6,E:maj,B
7,E:maj,C
7,E:maj,C
7,E:maj,B
8,A:maj,F
8,A:maj,F
8,A:maj,E
8,A:maj,F
9,A:maj,F
10,D:maj,B
10,D:maj,B
10,D:maj,A
11,D:maj,B
11,D:maj,A
12,G:maj,E
12,G:maj,E
12,G:maj,D
12,G:maj,E
13,G:maj,E
13,G:maj,G
14,C:maj,D
14,C:maj,D
14,C:maj,C
15,A:min,D
15,A:min,C
15,A:min,D
15,A:min,C
16,A:min,D#
16,A:min,D#
17,G:maj,E
17,G:maj,D
18,C:maj,B
18,C:maj,A
19,C:maj,A
20,F#:min,B
20,F#:min,B
20,F#:min,A
20,F#:min,B
21,B:maj,B
22,E:maj,C
22,E:maj,C
22,E:maj,B
23,E:maj,C
23,E:maj,C
23,E:maj,B
24,A:maj,F
24,A:maj,F
24,A:maj,E
24,A:maj,F
25,A:maj,F
26,D:min,D
26,D:min,F
26,D:min,A
27,D:min,A
27,D:min,C
27,D:min,C
27,D:min,C
28,F:min,D
29,F:min,D
29,F:min,C
29,F:min,D
30,C:maj,E
30,C:maj,E
31,D:maj,E
31,D:maj,C
31,D:maj,E
31,D:maj,C
32,C:maj,C
33,D:min,G
33,D:min,A
34,C:maj,C
35,C:maj,C
