measure,chord,note
2,C:maj,A
2,C:maj,G
2,C:maj,G
2,C:maj,F#
2,C:maj,A
2,C:maj,G
2,C:maj,E
2,C:maj,C
3,F:maj,A
3,F:maj,G
3,F:maj,C
3,F:maj,B
4,F:maj,B
4,F:maj,A
4,F:maj,A
4,F:maj,G
4,F:maj,G
4,F:maj,E
4,F:maj,F
4,F:maj,G
5,D:min,D
5,D:min,A
5,D:min,G#
6,D:min,B
6,D:min,A
6,D:min,F
6,D:min,E
6,D:min,G
6,D:min,F
6,D:min,F
6,D:min,D
6,D:min,C#
7,G:maj,E
7,G:maj,D
7,G:maj,G
7,G:maj,A
8,G:maj,B
8,G:maj,C
8,G:maj,D
8,G:maj,E
8,G:maj,F
8,G:maj,A
8,G:maj,A
8,G:maj,G
8,G:maj,F
9,C:maj,E
9,C:maj,G
9,C:maj,F#
10,C:maj,A
10,C:maj,G
10,C:maj,G
10,C:maj,F#
10,C:maj,A
10,C:maj,G
10,C:maj,G
10,C:maj,E
10,C:maj,C
11,F:maj,A
11,F:maj,G
11,F:maj,G
11,F:maj,C
11,F:maj,B
12,F:maj,B
12,F:maj,A
12,F:maj,A
12,F:maj,G
12,F:maj,G
12,F:maj,E
12,F:maj,F
12,F:maj,G
13,F:maj,A
13,F:maj,F
13,F:maj,G
14,F:min,G#
14,F:min,G#
14,F:min,A#
14,F:min,C
14,F:min,A#
14,F:min,G#
15,C:maj,G#
15,C:maj,G
15,C:maj,A
15,C:maj,G
16,G:maj,G
16,G:maj,B
16,G:maj,A
16,G:maj,G
17,C:maj,G
17,C:maj,E
17,C:maj,E
17,C:maj,F
17,C:maj,G
18,F:maj,A
18,F:maj,A
18,F:maj,B
18,F:maj,C
18,F:maj,B
18,F:maj,A
19,C:maj,A
19,C:maj,G
19,C:maj,G
19,C:maj,A
19,C:maj,G
20,G:maj,F
20,G:maj,G
20,G:maj,E
20,G:maj,D
20,G:maj,F
20,G:maj,G
20,G:maj,E
20,G:maj,D
21,C:maj,C
21,C:maj,G
21,C:maj,F#
22,C:maj,C
