measure,chord,note
2,C:maj,C
3,D:min,D
4,G:maj,B
4,G:maj,A
4,G:maj,G
5,F:maj,A
5,F:maj,B
5,F:maj,A
6,C:maj,G
7,C:maj,C
7,C:maj,D
7,C:maj,E
8,E:min,G
9,A:min,A
10,D:maj,G
10,D:maj,D
10,D:maj,D
11,G:maj,D
13,C:maj,G
13,C:maj,E
13,C:maj,G
14,F:maj,C
15,F:maj,A
16,C:maj,G
16,C:maj,E
16,C:maj,D
17,A:min,C
18,D:maj,D
19,G:maj,E
19,G:maj,D
19,G:maj,E
20,C:maj,G
21,F:maj,A
22,G:maj,D
22,G:maj,E
22,G:maj,E
22,G:maj,D
23,C:maj,C
37,G:maj,C
37,G:maj,E
37,G:maj,G
38,C:maj,C
39,D:min,D
40,G:maj,B
40,G:maj,A
40,G:maj,G
41,F:maj,A
41,F:maj,B
41,F:maj,A
42,C:maj,G
43,C:maj,C
43,C:maj,D
43,C:maj,E
44,D#:maj,G
45,A:min,A
46,D:maj,G
46,D:maj,D
46,D:maj,D
47,G:maj,D
49,C:maj,G
49,C:maj,E
49,C:maj,G
50,F:maj,C
51,F:maj,A
52,C:maj,G
52,C:maj,E
52,C:maj,D
53,A:min,C
54,D:maj,D
55,G:maj,E
55,G:maj,D
55,G:maj,E
56,C:maj,G
57,F:maj,A
58,G:maj,D
58,G:maj,E
58,G:maj,D
59,C:maj,C
