measure,chord,note
1,C:maj,E
1,C:maj,G
1,C:maj,A
2,C:maj,E
2,C:maj,G
3,F:maj,A
3,F:maj,C
3,F:maj,C
3,F:maj,D
4,C:maj,C
5,F:maj,C
5,F:maj,C
5,F:maj,B
5,F:maj,A
6,C:maj,C
6,C:maj,G
6,C:maj,G
7,D:min,A
7,D:min,G
7,D:min,F
7,D:min,E
8,G:maj,D
9,C:maj,E
9,C:maj,G
9,C:maj,G
9,C:maj,A
10,C:maj,E
10,C:maj,G
11,F:maj,A
11,F:maj,C
11,F:maj,C
11,F:maj,D
12,C:maj,C
13,F:maj,C
13,F:maj,B
13,F:maj,A
14,C:maj,C
14,C:maj,G
14,C:maj,E
15,G:maj,G
15,G:maj,G
15,G:maj,F
15,G:maj,D
16,C:maj,C
16,C:maj,D
17,C:maj,E
17,C:maj,G
17,C:maj,G
17,C:maj,A
18,C:maj,E
18,C:maj,G
19,F:maj,A
19,F:maj,C
19,F:maj,C
19,F:maj,D
20,C:maj,C
21,F:maj,C
21,F:maj,C
21,F:maj,B
21,F:maj,A
22,C:maj,C
22,C:maj,G
22,C:maj,G
23,D:min,A
23,D:min,G
23,D:min,F
23,D:min,E
24,G:maj,D
25,C:maj,E
25,C:maj,G
25,C:maj,G
25,C:maj,A
26,C:maj,E
26,C:maj,G
27,F:maj,A
27,F:maj,C
27,F:maj,C
27,F:maj,D
28,C:maj,C
29,F:maj,C
29,F:maj,B
29,F:maj,A
30,C:maj,C
30,C:maj,G
30,C:maj,E
31,G:maj,G
31,G:maj,G
31,G:maj,F
31,G:maj,D
32,C:maj,C
32,C:maj,D
33,G:maj,G
33,G:maj,G
33,G:maj,A
33,G:maj,B
34,C:maj,C
35,C:maj,C
