measure,chord,note
1,C:maj,C
1,C:maj,C
2,D:min,C
2,D:min,G
2,D:min,F
2,D:min,F
2,D:min,E
2,D:min,D
3,C:maj,C
3,C:maj,C
4,D:min,C
4,D:min,E
4,D:min,G
4,D:min,G
4,D:min,A
4,D:min,B
5,C:maj,C
5,C:maj,C
6,D:maj,C
6,D:maj,B
6,D:maj,A
6,D:maj,A
6,D:maj,C
6,D:maj,D
7,G:maj,G
7,G:maj,G
8,G:maj,G
9,C:maj,C
9,C:maj,C
10,D:min,C
10,D:min,G
10,D:min,F
10,D:min,F
10,D:min,E
10,D:min,D
11,C:maj,C
11,C:maj,C
12,D:min,C
12,D:min,E
12,D:min,G
12,D:min,G
12,D:min,A
12,D:min,B
13,C:maj,C
13,C:maj,C
14,D:maj,C
14,D:maj,B
14,D:maj,A
14,D:maj,A
14,D:maj,B
14,D:maj,D
15,G:maj,G
15,G:maj,G
16,C:maj,G
16,C:maj,C
16,C:maj,C
16,C:maj,C
16,C:maj,D
17,F:maj,D
18,C:maj,D
18,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,D
19,F:maj,D
20,F:min,D
20,F:min,C
20,F:min,C
20,F:min,C
20,F:min,D
21,E:min,D
22,D:maj,D
22,D:maj,C
22,D:maj,C
22,D:maj,C
22,D:maj,D
23,D:min,D
24,D:min,G
25,C:maj,C
25,C:maj,C
26,D:min,C
26,D:min,G
26,D:min,F
26,D:min,F
26,D:min,E
26,D:min,D
27,C:maj,C
27,C:maj,C
28,D:min,C
28,D:min,E
28,D:min,G
28,D:min,G
28,D:min,A
28,D:min,B
29,C:maj,C
29,C:maj,C
30,D:min,C
30,D:min,A
30,D:min,D
30,D:min,D
30,D:min,C
30,D:min,B
31,C:maj,C
32,C:maj,C
