measure,chord,note
1,G:maj,B
1,G:maj,B
1,G:maj,B
1,G:maj,B
1,G:maj,A
1,G:maj,A
2,G:maj,A
2,G:maj,B
2,G:maj,B
3,C:maj,D
3,C:maj,E
3,C:maj,E
3,C:maj,E
3,C:maj,E
3,C:maj,D
3,C:maj,B
4,G:maj,B
5,B:min,D
5,B:min,D
5,B:min,E
5,B:min,E
5,B:min,F#
6,B:min,G
6,B:min,G
6,B:min,E
6,B:min,E
7,C:maj,E
7,C:maj,E
7,C:maj,E
7,C:maj,E
7,C:maj,D
7,C:maj,D
8,D:maj,D
9,D:maj,D
9,D:maj,C
9,D:maj,B
9,D:maj,B
10,G:maj,B
10,G:maj,A
10,G:maj,B
11,E:maj,B
11,E:maj,A
11,E:maj,B
12,C:maj,B
12,C:maj,F#
13,D:maj,F#
13,D:maj,F#
13,D:maj,D
13,D:maj,C
13,D:maj,B
13,D:maj,B
14,G:maj,B
14,G:maj,A
14,G:maj,B
15,E:maj,B
15,E:maj,C
15,E:maj,A
16,B:min,A
16,B:min,F#
17,D:maj,F#
17,D:maj,D
17,D:maj,C
17,D:maj,B
17,D:maj,B
18,G:maj,B
18,G:maj,C
18,G:maj,D
19,E:maj,D
20,A:min,C
20,A:min,C
20,A:min,D
20,A:min,E
21,C:maj,E
21,C:maj,E
21,C:maj,D
21,C:maj,D
22,G:maj,D
22,G:maj,C
22,G:maj,B
22,G:maj,B
22,G:maj,B
22,G:maj,E
22,G:maj,D
22,G:maj,D
23,E:maj,D
23,E:maj,C
23,E:maj,B
23,E:maj,B
23,E:maj,B
23,E:maj,E
23,E:maj,D
24,C:maj,D
24,C:maj,D
24,C:maj,C
25,D:maj,C
