measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,C
1,C:maj,C
2,C:maj,C
2,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,E
3,F:maj,F
3,F:maj,A
5,G:maj,D
5,G:maj,D
5,G:maj,D
5,G:maj,B
5,G:maj,B
6,G:maj,B
6,G:maj,G
6,G:maj,G
6,G:maj,B
6,G:maj,A
6,G:maj,G
7,C:maj,G
9,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,C
9,C:maj,C
10,C:maj,C
10,C:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,F
10,C:maj,E
11,F:maj,F
11,F:maj,A
12,G:maj,D
12,G:maj,D
12,G:maj,D
12,G:maj,B
12,G:maj,B
13,G:maj,B
13,G:maj,G
13,G:maj,G
13,G:maj,B
13,G:maj,C
13,G:maj,C
14,C:maj,C
16,A:min,C
16,A:min,C
16,A:min,C
16,A:min,C
17,A:min,C
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,A
17,A:min,F
17,A:min,D
17,A:min,C
18,E:maj,D
18,E:maj,E
18,E:maj,E
19,E:maj,E
20,C:maj,C
20,C:maj,C
20,C:maj,C
21,C:maj,C
21,C:maj,A
21,C:maj,A
21,C:maj,A
21,C:maj,A
21,C:maj,E
21,C:maj,C
22,D:maj,D
22,D:maj,E
22,D:maj,D
22,D:maj,C
23,D:maj,C
24,F:maj,F
24,F:maj,G
24,F:maj,A
25,F:maj,G
26,E:maj,G#
26,E:maj,A
26,E:maj,B
27,A:min,C
28,D:maj,A
28,D:maj,B
29,D:maj,C
29,D:maj,D
29,D:maj,B
29,D:maj,A
30,F:maj,A
30,F:maj,G
31,F:maj,A
31,F:maj,B
32,C:maj,E
32,C:maj,E
32,C:maj,E
32,C:maj,C
32,C:maj,C
33,C:maj,C
33,C:maj,G
33,C:maj,G
33,C:maj,G
33,C:maj,F
33,C:maj,E
34,F:maj,F
34,F:maj,A
35,G:maj,D
35,G:maj,D
36,G:maj,D
36,G:maj,B
36,G:maj,B
36,G:maj,B
36,G:maj,A
36,G:maj,G
37,C:maj,G
39,G:maj,E
39,G:maj,E
39,G:maj,E
39,G:maj,C
39,G:maj,C
40,G:maj,C
40,G:maj,G
40,G:maj,G
40,G:maj,G
40,G:maj,F
40,G:maj,E
41,F:maj,F
41,F:maj,A
43,G:maj,D
43,G:maj,D
43,G:maj,D
43,G:maj,B
43,G:maj,B
44,G:maj,B
44,G:maj,G
44,G:maj,E
44,G:maj,D
44,G:maj,C
45,C:maj,C
46,C:maj,C
