measure,chord,note
1,C:min,F#
1,C:min,G
1,C:min,G#
1,C:min,G
1,C:min,D
2,F:min,F
3,G:maj,D
3,G:maj,D#
3,G:maj,F
3,G:maj,D#
4,C:min,D
4,C:min,C
4,C:min,C
5,C:min,F#
5,C:min,G
5,C:min,G#
5,C:min,G
5,C:min,D
6,F:min,F
7,G:maj,D
7,G:maj,D#
7,G:maj,F
7,G:maj,D#
8,C:maj,C
9,F:min,C
9,F:min,C
10,F:min,D#
10,F:min,D
10,F:min,C
10,F:min,A#
10,F:min,G#
10,F:min,A#
11,G:maj,G
12,G#:maj,G
12,G#:maj,D#
12,G#:maj,D
12,G#:maj,G
13,C:maj,D
13,C:maj,C
13,C:maj,C
14,G:maj,C
14,G:maj,G
15,C:maj,E
16,C:maj,E
16,C:maj,G
16,C:maj,E
16,C:maj,D
16,C:maj,C
16,C:maj,C
16,C:maj,D
17,A:min,A
18,F:maj,A
18,F:maj,C
18,F:maj,D
18,F:maj,E
18,F:maj,D
18,F:maj,C
19,F:min,G#
20,F:min,G#
20,F:min,C
20,F:min,D
20,F:min,E
20,F:min,D
20,F:min,C
21,C:maj,G
22,G:maj,G
22,G:maj,G
22,G:maj,A
22,G:maj,G
23,C:maj,G
23,C:maj,E
23,C:maj,E
24,C:maj,E
24,C:maj,G
24,C:maj,E
24,C:maj,D
24,C:maj,C
24,C:maj,C
24,C:maj,D
25,A:min,A
26,F:maj,A
26,F:maj,C
26,F:maj,D
26,F:maj,E
26,F:maj,D
26,F:maj,C
27,F:min,G#
28,G:maj,G#
28,G:maj,G
28,G:maj,A
28,G:maj,B
28,G:maj,A
28,G:maj,G
29,C:maj,C
30,C:maj,C
30,C:maj,C
31,F:min,G#
32,C:maj,G#
32,C:maj,A#
32,C:maj,G#
32,C:maj,A#
32,C:maj,G#
32,C:maj,A#
33,C:min,G
34,G:maj,G
34,G:maj,G
35,F:min,F
35,F:min,D#
35,F:min,D
35,F:min,F
36,G#:maj,F
36,G#:maj,D#
36,G#:maj,F
36,G#:maj,D#
36,G#:maj,D
36,G#:maj,D
36,G#:maj,C
37,G:maj,D
38,G:maj,D
38,G:maj,G
38,G:maj,A
38,G:maj,G
39,C:maj,G
39,C:maj,E
39,C:maj,E
40,C:maj,E
40,C:maj,G
40,C:maj,E
40,C:maj,D
40,C:maj,E
40,C:maj,D
41,A:min,A
42,F:maj,A
42,F:maj,C
42,F:maj,D
42,F:maj,E
42,F:maj,D
42,F:maj,C
43,D:min,G#
44,D:min,G#
44,D:min,C
44,D:min,D
44,D:min,E
44,D:min,D
44,D:min,C
45,C:maj,C
46,C:maj,C
46,C:maj,B
46,C:maj,C
46,C:maj,B
46,C:maj,A
46,C:maj,B
47,D:min,A
47,D:min,G
48,F:maj,G
48,F:maj,F
48,F:maj,E
48,F:maj,G
48,F:maj,F
49,G:maj,B
49,G:maj,G
50,C:maj,C
51,C:maj,C
52,C:maj,C
