measure,chord,note
1,C:maj,G
1,C:maj,G
1,C:maj,A
2,G:maj,G
3,G:maj,G
3,G:maj,D
3,G:maj,D
3,G:maj,E
3,G:maj,D
4,C:maj,C
5,C:maj,C
5,C:maj,G
5,C:maj,G
5,C:maj,G
6,G:maj,G
7,G:maj,G
7,G:maj,D
7,G:maj,D
7,G:maj,F
7,G:maj,F
8,C:maj,E
9,C:maj,E
9,C:maj,G
9,C:maj,G
9,C:maj,C
10,C:maj,E
11,F:maj,E
11,F:maj,D
11,F:maj,D
11,F:maj,C
11,F:maj,A
12,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,G
14,G:maj,G
15,G:maj,G
15,G:maj,F
15,G:maj,F
15,G:maj,F
15,G:maj,E
16,C:maj,C
17,C:maj,C
17,C:maj,G
17,C:maj,G
17,C:maj,C
18,C:maj,E
19,F:maj,E
19,F:maj,D
19,F:maj,C
19,F:maj,A
20,C:maj,G
21,C:maj,G
21,C:maj,G
21,C:maj,G
21,C:maj,A
22,G:maj,G
23,G:maj,G
23,G:maj,E
23,G:maj,A
23,G:maj,A
24,C:maj,G
25,C:maj,G
25,C:maj,G
25,C:maj,C
26,C:maj,E
27,F:maj,E
27,F:maj,D
27,F:maj,C
27,F:maj,A
28,C:maj,G
29,C:maj,G
29,C:maj,G
29,C:maj,G
29,C:maj,A
30,G:maj,G
31,G:maj,G
31,G:maj,F
31,G:maj,E
31,G:maj,D
32,C:maj,C
