measure,chord,note
1,C:maj,C
1,C:maj,A
1,C:maj,E
2,C:maj,C
2,C:maj,A
2,C:maj,E
3,C:maj,C
3,C:maj,A
3,C:maj,E
4,C:maj,E
4,C:maj,C
4,C:maj,A
4,C:maj,F
5,C:maj,C
5,C:maj,A
5,C:maj,G
6,E:min,G
6,E:min,G
6,E:min,G
6,E:min,E
7,D:min,F
8,A:min,E
8,A:min,E
8,A:min,E
8,A:min,C
9,B:min,D
10,A:min,C
10,A:min,A
11,G:maj,A
11,G:maj,B
12,C:maj,C
13,C:maj,C
16,C:maj,E
16,C:maj,F
17,A:min,G
17,A:min,C
18,D:maj,E
18,D:maj,E
19,G:maj,E
19,G:maj,G
20,C:maj,E
20,C:maj,F
21,A:min,G
21,A:min,C
21,A:min,F
22,G:maj,G
23,G:maj,G
24,A:min,C
24,A:min,D
25,A:min,E
25,A:min,A
26,D:min,D
26,D:min,D
27,D:min,D
27,D:min,B
28,A:min,C
28,A:min,D
29,D:maj,E
29,D:maj,C
29,D:maj,F#
29,D:maj,D
30,G:maj,G
31,G:maj,G
32,G:min,G
32,G:min,A
33,C:maj,C
33,C:maj,A
34,F:maj,C
34,F:maj,C
35,D:min,C
35,D:min,G
36,F:maj,C
36,F:maj,C
37,F:min,C
37,F:min,F
38,G:maj,C
38,G:maj,C
39,G:maj,C
39,G:maj,G
40,C:maj,E
40,C:maj,F
41,A:min,G
41,A:min,C
42,C:maj,E
42,C:maj,F
43,G:min,G
43,G:min,A
44,F:maj,C
44,F:maj,C
45,F:min,F
45,F:min,E
45,F:min,D
46,C:maj,C
47,C:maj,C
