measure,chord,note
1,G:maj,G
1,G:maj,G
1,G:maj,G
2,A:maj,A
2,A:maj,A
2,A:maj,A
3,D:maj,D
3,D:maj,D
3,D:maj,D
3,D:maj,D
4,G:maj,G
4,G:maj,E
4,G:maj,F
5,G:maj,E
5,G:maj,D
5,G:maj,D
5,G:maj,D
6,G:maj,D
6,G:maj,F
6,G:maj,G
7,C:maj,F
7,C:maj,E
7,C:maj,E
7,C:maj,E
8,C:maj,E
8,C:maj,G
8,C:maj,G#
9,D:maj,A
9,D:maj,A
9,D:maj,A
9,D:maj,A
10,G:maj,B
10,G:maj,A
10,G:maj,G
10,G:maj,D
11,C:maj,C
11,C:maj,A#
12,G:maj,G
13,C:maj,E
13,C:maj,E
13,C:maj,G
13,C:maj,G
14,G:maj,G
14,G:maj,F
14,G:maj,F
15,G:maj,F
15,G:maj,F
15,G:maj,A
15,G:maj,A
16,C:maj,A
16,C:maj,G
16,C:maj,G
17,C#:min,G
17,C#:min,A
17,C#:min,B
17,C#:min,C
18,D:min,C
18,D:min,F
18,D:min,F
18,D:min,C
19,G:maj,B
19,G:maj,A
19,G:maj,G
19,G:maj,F
20,C:maj,E
21,C:maj,E
21,C:maj,E
21,C:maj,G
21,C:maj,G
22,G:maj,G
22,G:maj,F
22,G:maj,F
23,G:maj,F
23,G:maj,F
23,G:maj,A
23,G:maj,A
24,C:maj,A
24,C:maj,G
24,C:maj,G
25,C:maj,G
25,C:maj,G
25,C:maj,A
25,C:maj,A
26,G:maj,B
26,G:maj,D
26,G:maj,D
27,D:maj,C
27,D:maj,C
27,D:maj,B
27,D:maj,A
28,G:maj,G
28,G:maj,E
28,G:maj,F
29,G:maj,E
29,G:maj,D
29,G:maj,D
29,G:maj,D
30,G:maj,D
30,G:maj,F
30,G:maj,G
31,C:maj,F
31,C:maj,E
31,C:maj,E
31,C:maj,E
32,C:maj,E
32,C:maj,D
32,C:maj,E
33,G:maj,F
33,G:maj,G
34,G:maj,A
34,G:maj,B
35,C:maj,A
35,C:maj,G
36,C:maj,G
36,C:maj,E
36,C:maj,F
37,G:maj,E
37,G:maj,D
37,G:maj,D
37,G:maj,D
38,G:maj,D
38,G:maj,F
38,G:maj,G
39,C:maj,F
39,C:maj,E
39,C:maj,E
39,C:maj,E
40,C:maj,E
40,C:maj,G
40,C:maj,A
41,G:maj,B
41,G:maj,D
42,D:maj,C
42,D:maj,B
43,G:maj,A
43,G:maj,G
44,G:maj,G
44,G:maj,G
44,G:maj,G#
45,G:maj,A
45,G:maj,D
45,G:maj,D
45,G:maj,D
46,G:maj,D
46,G:maj,D
46,G:maj,E
46,G:maj,F
47,C:maj,G
47,C:maj,C
47,C:maj,C
47,C:maj,C
48,C:maj,C
48,C:maj,E
48,C:maj,E
49,D:maj,D
49,D:maj,D
49,D:maj,E
49,D:maj,E
50,D:maj,F#
50,D:maj,F#
50,D:maj,G
50,D:maj,G
51,D:maj,C
51,D:maj,C
51,D:maj,B
51,D:maj,A
52,G:maj,G
52,G:maj,E
52,G:maj,F
53,G:maj,E
53,G:maj,D
53,G:maj,D
53,G:maj,D
54,G:maj,D
54,G:maj,F
54,G:maj,G
55,C:maj,F
55,C:maj,E
55,C:maj,E
55,C:maj,E
56,C:maj,E
56,C:maj,G
56,C:maj,G#
57,D:maj,A
57,D:maj,A
57,D:maj,A
57,D:maj,A
58,G:maj,B
58,G:maj,A
58,G:maj,G
58,G:maj,D
59,C:maj,C
59,C:maj,A#
60,G:maj,G
61,C:maj,C
61,C:maj,G
61,C:maj,G
61,C:maj,G
61,C:maj,G
62,C:maj,G
62,C:maj,E
62,C:maj,F
63,G:maj,E
63,G:maj,D
63,G:maj,D
63,G:maj,D
64,G:maj,D
64,G:maj,F
64,G:maj,G
65,C:maj,F
65,C:maj,E
65,C:maj,E
65,C:maj,E
66,C:maj,E
66,C:maj,D
66,C:maj,E
67,G:maj,F
67,G:maj,G
68,G:maj,A
68,G:maj,B
69,C:maj,A
69,C:maj,G
70,C:maj,G
70,C:maj,E
70,C:maj,F
71,G:maj,E
71,G:maj,D
71,G:maj,D
71,G:maj,D
72,G:maj,D
72,G:maj,F
72,G:maj,G
73,C:maj,F
73,C:maj,E
73,C:maj,E
73,C:maj,E
74,C:maj,E
74,C:maj,G
74,C:maj,A
75,G:maj,B
75,G:maj,D
76,D:maj,C
76,D:maj,B
77,G:maj,A
77,G:maj,G
78,G:maj,G
78,G:maj,G
78,G:maj,G#
