measure,chord,note
2,G:maj,G
2,G:maj,G
2,G:maj,F
2,G:maj,G
2,G:maj,G
2,G:maj,F
3,G:maj,G
3,G:maj,G
3,G:maj,F
3,G:maj,G
3,G:maj,A
3,G:maj,F
3,G:maj,G
4,C:maj,E
5,C:maj,G
5,C:maj,C
5,C:maj,B
5,C:maj,C
5,C:maj,D
5,C:maj,E
5,C:maj,F
6,G:maj,G
6,G:maj,G
6,G:maj,F
6,G:maj,G
6,G:maj,G
6,G:maj,F
7,G:maj,G
7,G:maj,G
7,G:maj,F
7,G:maj,E
7,G:maj,F
7,G:maj,D
7,G:maj,E
8,C:maj,C
9,C:maj,G
9,C:maj,C
9,C:maj,B
9,C:maj,C
9,C:maj,D
9,C:maj,E
9,C:maj,F
10,G:maj,G
10,G:maj,G
10,G:maj,F
10,G:maj,G
10,G:maj,G
10,G:maj,F
11,G:maj,G
11,G:maj,G
11,G:maj,F
11,G:maj,G
11,G:maj,A
11,G:maj,F
11,G:maj,G
12,C:maj,E
13,C:maj,G
13,C:maj,C
13,C:maj,B
13,C:maj,C
13,C:maj,D
13,C:maj,E
13,C:maj,F
14,G:maj,G
14,G:maj,G
14,G:maj,F
14,G:maj,G
14,G:maj,G
14,G:maj,F
15,G:maj,G
15,G:maj,G
15,G:maj,F
15,G:maj,E
15,G:maj,F
15,G:maj,D
15,G:maj,E
16,C:maj,C
17,A:maj,G
17,A:maj,A
17,A:maj,B
18,C:maj,C
19,C:maj,C
20,C:maj,C
21,C:maj,C
21,C:maj,B
21,C:maj,C
21,C:maj,D
21,C:maj,C
22,G:maj,B
23,G:maj,B
23,G:maj,A
23,G:maj,B
23,G:maj,C
23,G:maj,B
24,D:min,A
25,G:maj,A
25,G:maj,G
25,G:maj,A
25,G:maj,B
25,G:maj,G
26,C:maj,E
27,A:maj,G
27,A:maj,A
27,A:maj,B
28,C:maj,C
29,C:maj,C
29,C:maj,B
29,C:maj,C
29,C:maj,D
29,C:maj,C
30,G:maj,B
31,G:maj,B
31,G:maj,A
31,G:maj,B
31,G:maj,C
31,G:maj,B
32,D:min,A
33,G:maj,A
33,G:maj,G
33,G:maj,A
33,G:maj,B
33,G:maj,G
34,C:maj,C
35,C:maj,G
35,C:maj,C
35,C:maj,B
35,C:maj,C
35,C:maj,D
35,C:maj,E
35,C:maj,F
