measure,chord,note
1,A:min,A
1,A:min,A
1,A:min,B
1,A:min,C
2,G:maj,B
2,G:maj,A
2,G:maj,G
2,G:maj,G
2,G:maj,A
2,G:maj,B
3,F:maj,A
3,F:maj,G
3,F:maj,F
3,F:maj,F
3,F:maj,G
3,F:maj,A
4,E:maj,G#
4,E:maj,E
5,A:maj,A
5,A:maj,A
5,A:maj,B
5,A:maj,C
6,G:maj,D
6,G:maj,C
6,G:maj,B
6,G:maj,B
6,G:maj,C
6,G:maj,D
7,F:maj,C
7,F:maj,B
7,F:maj,A
7,F:maj,A
7,F:maj,B
7,F:maj,C
8,E:maj,B
8,E:maj,B
9,A:min,E
9,A:min,E
9,A:min,E
9,A:min,D#
10,F:maj,D
10,F:maj,C
10,F:maj,A
10,F:maj,A
10,F:maj,C
11,A:min,E
11,A:min,E
11,A:min,E
11,A:min,E
11,A:min,D#
12,F:maj,D
12,F:maj,C
12,F:maj,A
12,F:maj,A
12,F:maj,C
13,D:min,D
13,D:min,D
13,D:min,D
13,D:min,E
13,D:min,F
14,E:maj,E
14,E:maj,E
14,E:maj,F
14,E:maj,E
15,D:min,D
15,D:min,D
15,D:min,E
15,D:min,F
16,E:maj,E
17,A:min,A
17,A:min,A
18,G:maj,A
18,G:maj,B
18,G:maj,B
18,G:maj,B
19,F:maj,A
19,F:maj,A
19,F:maj,A
19,F:maj,B
19,F:maj,C
20,A:min,A
20,A:min,A
21,G:maj,A
21,G:maj,G
21,G:maj,A
21,G:maj,B
21,G:maj,G
22,A:min,A
22,A:min,A
23,G:maj,A
23,G:maj,G
23,G:maj,A
23,G:maj,B
23,G:maj,G
24,A:min,E
