measure,chord,note
1,C:maj,G
1,C:maj,G#
1,C:maj,B
1,C:maj,A
2,A#:maj,F
2,A#:maj,E
3,D:min,F
3,D:min,F#
3,D:min,F
3,D:min,A
3,D:min,E
4,D:min,E
5,D:min,D
5,D:min,E
5,D:min,G
5,D:min,F
6,G:maj,E
6,G:maj,B
7,C:maj,D
7,C:maj,E
7,C:maj,D
7,C:maj,G
7,C:maj,D
8,C:maj,D
9,F:maj,D
9,F:maj,E
9,F:maj,D
9,F:maj,C
10,F:min,D
10,F:min,E
10,F:min,D
10,F:min,E
11,C:maj,B
11,C:maj,C
11,C:maj,E
11,C:maj,G
12,E:min,A
13,D:min,C#
13,D:min,D
13,D:min,F
13,D:min,A
14,F#:min,B
14,F#:min,A
15,E:min,G
15,E:min,G
15,E:min,G
15,E:min,G
15,E:min,G
15,E:min,G
15,E:min,F#
16,D:min,F
16,D:min,F
16,D:min,F
16,D:min,F
16,D:min,G
16,D:min,E
17,C:maj,G
17,C:maj,G#
17,C:maj,B
17,C:maj,A
18,A#:maj,F
18,A#:maj,E
19,D:min,G
19,D:min,F#
19,D:min,F
19,D:min,A
19,D:min,E
20,D:min,E
21,D:min,D
21,D:min,E
21,D:min,G
21,D:min,F
22,G:maj,E
22,G:maj,B
23,C:maj,D
23,C:maj,E
23,C:maj,D
23,C:maj,G
23,C:maj,D
24,F:maj,D
24,F:maj,C
25,F:maj,D
25,F:maj,E
25,F:maj,D
25,F:maj,E
26,F:min,D
26,F:min,E
26,F:min,D
26,F:min,E
27,C:maj,B
27,C:maj,C
27,C:maj,B
27,C:maj,G
28,A#:maj,F
28,A#:maj,E
29,D:min,C#
29,D:min,D
29,D:min,F
29,D:min,A
30,G:maj,C#
30,G:maj,D
30,G:maj,F
30,G:maj,A
30,G:maj,E
30,G:maj,E
31,C:maj,C
