measure,chord,note
0,A:min,E
1,E:maj,E
1,E:maj,D
1,E:maj,E
1,E:maj,D
2,A:min,C
2,A:min,C
3,E:maj,C
3,E:maj,C
3,E:maj,B
3,E:maj,A
3,E:maj,G#
3,E:maj,B
4,A:min,A
5,A:min,E
6,A:min,E
6,A:min,D
6,A:min,E
6,A:min,D
7,C:maj,C
7,C:maj,C
8,A:min,C
8,A:min,C
8,A:min,B
8,A:min,A
8,A:min,G#
8,A:min,B
9,A:min,A
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
11,C:maj,E
11,C:maj,B
11,C:maj,C
11,C:maj,E
11,C:maj,C
12,C:maj,A
12,C:maj,G
13,A:maj,E
13,A:maj,D#
13,A:maj,E
13,A:maj,F
13,A:maj,E
14,D:min,D
14,D:min,D
15,D:min,F
15,D:min,G
15,D:min,A
15,D:min,B
15,D:min,A
16,C:maj,A
16,C:maj,G
16,C:maj,C
17,G:maj,D
17,G:maj,E
17,G:maj,F
17,G:maj,E
17,G:maj,D
18,C:maj,G
19,G:maj,G
19,G:maj,E
19,G:maj,G
19,G:maj,E
20,C:maj,G
20,C:maj,G
21,F#:min,G
21,F#:min,A
21,F#:min,B
21,F#:min,A
22,D:min,A
22,D:min,G
22,D:min,F
23,G:maj,F
23,G:maj,D
23,G:maj,F
23,G:maj,D
24,D:min,F
24,D:min,F
25,G:maj,F
25,G:maj,G
25,G:maj,A
25,G:maj,G
26,C:maj,E
27,G:maj,E
27,G:maj,E
27,G:maj,G
27,G:maj,E
28,C:maj,G
28,C:maj,G
29,D:min,G
29,D:min,E
29,D:min,F
29,D:min,G
30,F:maj,B
30,F:maj,A
31,D:min,A
31,D:min,A
31,D:min,G
31,D:min,F
32,C:maj,E
32,C:maj,G
33,D:min,G
33,D:min,E
33,D:min,D
33,D:min,C
34,G:maj,C
35,G:maj,C
