measure,chord,note
4,F:maj,F
4,F:maj,E
4,F:maj,C
4,F:maj,F
4,F:maj,E
4,F:maj,C
5,F:maj,A
5,F:maj,C
5,F:maj,D
6,C:maj,D
6,C:maj,E
6,C:maj,C
6,C:maj,A
7,A#:maj,A#
7,A#:maj,A
7,A#:maj,A#
7,A#:maj,C
8,F:maj,A
8,F:maj,G
8,F:maj,A
8,F:maj,A
8,F:maj,A
8,F:maj,G
9,F:maj,A
9,F:maj,A
9,F:maj,G
9,F:maj,F
9,F:maj,A
9,F:maj,C
9,F:maj,D
10,C:maj,D
10,C:maj,E
10,C:maj,E
10,C:maj,C
10,C:maj,C
10,C:maj,A
11,A#:maj,A
11,A#:maj,A#
11,A#:maj,A#
12,F:maj,C
12,F:maj,D#
12,F:maj,D
12,F:maj,C
13,F:maj,C
13,F:maj,C
13,F:maj,C
13,F:maj,D#
13,F:maj,D
13,F:maj,C
14,G#:maj,A#
14,G#:maj,A#
14,G#:maj,A#
14,G#:maj,C
15,F:maj,A
15,F:maj,G
15,F:maj,F
16,C#:maj,C#
16,C#:maj,C#
16,C#:maj,C#
16,C#:maj,C#
16,C#:maj,C#
17,G:maj,B
17,G:maj,B
17,G:maj,B
17,G:maj,B
17,G:maj,A
17,G:maj,B
17,G:maj,C
18,C:maj,C
19,F:maj,A
19,F:maj,A
19,F:maj,A
19,F:maj,G
20,C:maj,G
21,C:maj,A
21,C:maj,C
21,C:maj,D
22,C:maj,D
22,C:maj,E
22,C:maj,C
22,C:maj,C
22,C:maj,A
23,A#:maj,A#
23,A#:maj,A#
23,A#:maj,A#
23,A#:maj,C
24,F:maj,A
24,F:maj,C
24,F:maj,C
25,F:maj,A
25,F:maj,G
25,F:maj,F
25,F:maj,F
25,F:maj,A
25,F:maj,C
25,F:maj,D
26,C:maj,E
26,C:maj,E
26,C:maj,C
26,C:maj,C
26,C:maj,C
26,C:maj,A
27,A#:maj,A
27,A#:maj,A#
28,F:maj,C
28,F:maj,D#
28,F:maj,D
28,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,D#
29,F:maj,D
29,F:maj,C
30,G#:maj,A#
30,G#:maj,A#
30,G#:maj,A#
30,G#:maj,C
31,F:maj,A
31,F:maj,G
31,F:maj,F
32,C#:maj,C#
32,C#:maj,C#
32,C#:maj,C#
32,C#:maj,C#
32,C#:maj,C#
33,G:maj,B
33,G:maj,B
33,G:maj,B
33,G:maj,B
33,G:maj,A
33,G:maj,B
33,G:maj,C
34,C:maj,C
35,F:maj,A
35,F:maj,A
35,F:maj,A
35,F:maj,G
36,C:maj,G
37,G#:maj,A#
37,G#:maj,A#
37,G#:maj,A#
37,G#:maj,C
38,F:maj,A
38,F:maj,G
38,F:maj,F
39,C#:maj,C#
39,C#:maj,C#
39,C#:maj,C#
39,C#:maj,C#
39,C#:maj,C#
40,G:maj,B
40,G:maj,B
40,G:maj,B
40,G:maj,B
40,G:maj,A
40,G:maj,B
40,G:maj,C
41,C:maj,C
42,F:maj,A
42,F:maj,A
42,F:maj,A
42,F:maj,G
43,C:maj,G
44,C:maj,G
44,C:maj,C
44,C:maj,B
44,C:maj,C
44,C:maj,B
44,C:maj,G
45,C:maj,G
45,C:maj,C
45,C:maj,B
45,C:maj,C
45,C:maj,B
45,C:maj,G
46,C:maj,E
46,C:maj,E
46,C:maj,D
46,C:maj,D
47,C:maj,F
47,C:maj,C
47,C:maj,C
48,C:maj,A#
48,C:maj,C
48,C:maj,C
49,C:maj,G
50,C:maj,E
50,C:maj,E
50,C:maj,D
50,C:maj,D
51,C:maj,F
51,C:maj,C
51,C:maj,C
52,C:maj,A#
52,C:maj,A#
52,C:maj,A#
52,C:maj,C
52,C:maj,C
52,C:maj,C
53,C:maj,C
54,F:maj,A
54,F:maj,A
54,F:maj,A
54,F:maj,G
55,C:maj,G
56,G#:maj,A#
56,G#:maj,A#
56,G#:maj,A#
56,G#:maj,C
57,F:maj,A
57,F:maj,G
57,F:maj,F
58,C#:maj,C#
58,C#:maj,C#
58,C#:maj,C#
58,C#:maj,C#
58,C#:maj,C#
59,G:maj,B
59,G:maj,B
59,G:maj,B
59,G:maj,B
59,G:maj,A
59,G:maj,B
59,G:maj,C
60,G:maj,C
61,F:maj,A
61,F:maj,A
61,F:maj,A
61,F:maj,G
62,C:maj,G
63,F:maj,A
63,F:maj,A
63,F:maj,A
63,F:maj,G
64,C:maj,G
65,F:maj,E
65,F:maj,D
65,F:maj,C
65,F:maj,E
66,C:maj,E
