measure,chord,note
1,A:min,C
1,A:min,C
1,A:min,B
1,A:min,A
1,A:min,G#
1,A:min,B
2,A:min,A
2,A:min,G#
2,A:min,A
2,A:min,A
3,D:min,A
3,D:min,A
3,D:min,A
3,D:min,G#
3,D:min,A
3,D:min,F
4,A:min,E
4,A:min,D#
4,A:min,E
4,A:min,E
5,E:maj,D
5,E:maj,D
5,E:maj,D
5,E:maj,C#
5,E:maj,D
5,E:maj,E
6,A:min,C
6,A:min,C
7,D:min,B
7,D:min,B
7,D:min,B
7,D:min,A#
7,D:min,B
7,D:min,C
8,A:min,A
8,A:min,A
10,E:maj,C
10,E:maj,C
10,E:maj,B
10,E:maj,A
10,E:maj,G#
10,E:maj,B
11,A:min,A
11,A:min,G#
11,A:min,A
11,A:min,A
12,D:min,A
12,D:min,A
12,D:min,A
12,D:min,G#
12,D:min,A
12,D:min,F
13,A:min,E
13,A:min,D#
13,A:min,E
13,A:min,E
14,E:maj,D
14,E:maj,D
14,E:maj,D
14,E:maj,C#
14,E:maj,D
14,E:maj,E
15,A:min,C
15,A:min,C
16,D:min,B
16,D:min,B
16,D:min,B
16,D:min,A#
16,D:min,B
16,D:min,C
17,C:maj,C
18,C:maj,C
18,C:maj,D
19,C:maj,C
19,C:maj,C
19,C:maj,A
19,C:maj,B
20,C:maj,G
20,C:maj,G
20,C:maj,G
20,C:maj,A
21,C:maj,A
21,C:maj,A
21,C:maj,B
21,C:maj,B
21,C:maj,B
21,C:maj,G
22,G:maj,A
22,G:maj,A
23,G:maj,B
23,G:maj,C
23,G:maj,D
24,G:maj,B
24,G:maj,C
24,G:maj,B
24,G:maj,A
24,G:maj,A
24,G:maj,A
24,G:maj,A
25,G:maj,B
25,G:maj,B
25,G:maj,B
25,G:maj,B
25,G:maj,C
25,G:maj,D
26,C:maj,A
26,C:maj,B
26,C:maj,A
26,C:maj,G
26,C:maj,G
26,C:maj,C
26,C:maj,D
27,C:maj,C
27,C:maj,C
27,C:maj,A
27,C:maj,B
28,C:maj,G
28,C:maj,G
28,C:maj,C
28,C:maj,D
29,A:maj,E
29,A:maj,E
29,A:maj,D#
29,A:maj,E
29,A:maj,E
29,A:maj,G
30,D:min,E
30,D:min,F
30,D:min,E
30,D:min,D
30,D:min,D
31,F:min,F
31,F:min,D
31,F:min,E
32,C:maj,C
32,C:maj,C
32,C:maj,A
32,C:maj,B
33,C:maj,G
33,C:maj,G
33,C:maj,D
33,C:maj,E
34,C:maj,E
34,C:maj,D
34,C:maj,C
34,C:maj,C
34,C:maj,C
34,C:maj,D
35,C:maj,C
35,C:maj,C
