measure,chord,note
1,C:maj,C
2,G:min,A#
2,G:min,A#
2,G:min,A#
2,G:min,A#
2,G:min,A#
2,G:min,D
3,C:maj,C
4,G:min,D
4,G:min,D
4,G:min,D
4,G:min,D
4,G:min,D
4,G:min,F
5,C:maj,E
6,G:min,F
6,G:min,F
6,G:min,F
6,G:min,F
6,G:min,F
6,G:min,A
7,C:maj,G
8,G:min,G
8,G:min,G
8,G:min,G
9,F:maj,G
9,F:maj,F
9,F:maj,E
9,F:maj,C
10,F:maj,C
10,F:maj,E
10,F:maj,F
11,F:min,G
11,F:min,F
11,F:min,E
11,F:min,C
12,A#:maj,C
12,A#:maj,E
12,A#:maj,F
13,D#:min,G#
13,D#:min,F#
13,D#:min,F
13,D#:min,C#
14,C#:maj,C#
14,C#:maj,E
14,C#:maj,D
14,C#:maj,C
15,C:maj,C
16,G:min,A#
16,G:min,G
16,G:min,A#
16,G:min,C
17,C:maj,C
17,C:maj,B
17,C:maj,G
17,C:maj,A#
17,C:maj,D
18,G:min,D
18,G:min,A#
18,G:min,G
18,G:min,A#
19,A:maj,E
19,A:maj,E
20,A:maj,E
20,A:maj,C
20,A:maj,A
20,A:maj,C
20,A:maj,E
21,A:min,E
21,A:min,C
21,A:min,A
21,A:min,C
21,A:min,F#
22,D:maj,F#
22,D:maj,C
22,D:maj,A
22,D:maj,C
23,D:min,G
23,D:min,G
24,G:maj,G
24,G:maj,A
24,G:maj,D#
24,G:maj,D
24,G:maj,C
24,G:maj,A
24,G:maj,G
25,C:maj,C
26,G:min,A#
26,G:min,A#
26,G:min,A#
26,G:min,A#
26,G:min,A#
26,G:min,D
27,C:maj,C
28,G:min,D
28,G:min,D
28,G:min,D
28,G:min,D
28,G:min,D
28,G:min,F
29,C:maj,E
30,G:min,F
30,G:min,F
30,G:min,F
30,G:min,F
30,G:min,F
30,G:min,A
31,C:maj,G
32,G:min,G
32,G:min,G
32,G:min,G
35,F:min,G
35,F:min,F
35,F:min,E
35,F:min,C
36,A#:maj,C
36,A#:maj,E
36,A#:maj,F
37,D#:min,G#
37,D#:min,F#
37,D#:min,F
37,D#:min,C#
38,C#:maj,C#
38,C#:maj,E
38,C#:maj,D
38,C#:maj,C
39,C:maj,C
40,G:min,A#
40,G:min,G
40,G:min,A#
41,C:maj,C
41,C:maj,C
42,G:min,C
42,G:min,A#
42,G:min,G
42,G:min,A#
43,C:maj,C
44,G:min,C
44,G:min,A#
44,G:min,A#
44,G:min,A#
45,C:maj,G
45,C:maj,F
45,C:maj,G
45,C:maj,F
46,C:maj,E
46,C:maj,C
46,C:maj,A#
46,C:maj,D
47,C:maj,G
