measure,chord,note
1,C:maj,C
1,C:maj,B
1,C:maj,D
1,C:maj,C
2,C:maj,E
3,C:maj,E
3,C:maj,C
3,C:maj,B
3,C:maj,D
3,C:maj,C
4,D:maj,E
5,D:maj,E
5,D:maj,D
5,D:maj,C
5,D:maj,E
5,D:maj,D
6,B:min,A
6,B:min,A
7,G:maj,B
7,G:maj,B
8,C:maj,G
9,C:maj,G
9,C:maj,C
9,C:maj,B
9,C:maj,D
9,C:maj,C
10,C:maj,E
11,C:maj,E
11,C:maj,G
11,C:maj,F#
11,C:maj,A
11,C:maj,G
12,E:min,B
13,E:min,B
13,E:min,B
13,E:min,A
13,E:min,C
13,E:min,B
14,G:maj,D
14,G:maj,B
15,D:maj,A
15,D:maj,B
16,G:maj,G
17,C:maj,G
17,C:maj,C
17,C:maj,B
17,C:maj,D
17,C:maj,C
18,C:maj,E
19,C:maj,E
19,C:maj,C
19,C:maj,B
19,C:maj,D
19,C:maj,C
20,D:maj,E
21,D:maj,E
21,D:maj,D
21,D:maj,C
21,D:maj,E
21,D:maj,D
22,B:min,A
22,B:min,A
23,G:maj,B
23,G:maj,B
24,C:maj,G
25,C:min,G
25,C:min,A
25,C:min,B
25,C:min,C
25,C:min,A
26,A:min,E
26,A:min,E
27,A:min,C
27,A:min,C
28,A:min,A
29,C:maj,A
29,C:maj,C
29,C:maj,B
29,C:maj,D
29,C:maj,C
30,D:maj,E
31,G:maj,E
31,G:maj,E
32,C:maj,E
32,C:maj,D
32,C:maj,C
33,C:maj,C
33,C:maj,C
33,C:maj,B
33,C:maj,D
33,C:maj,C
34,C:maj,E
34,C:maj,D
34,C:maj,C
35,C:maj,C
