measure,chord,note
1,C:maj,C
2,G:maj,B
3,C:maj,C
3,C:maj,A
4,D#:min,B
4,D#:min,C
4,D#:min,A
5,G:maj,B
5,G:maj,D
6,C#:min,E
6,C#:min,C#
7,D:min,D
8,D:min,D
9,G:maj,G
10,D#:min,F#
11,D:min,F
11,D:min,D
12,G:maj,F
12,G:maj,E
12,G:maj,D
13,F:maj,A
13,F:maj,G
14,C:maj,F
14,C:maj,E
15,D:min,E
15,D:min,D
15,D:min,C#
16,G:maj,D
16,G:maj,A
16,G:maj,B
17,C:maj,C
18,G:maj,B
19,C:maj,C
19,C:maj,A
20,D#:min,B
20,D#:min,C
20,D#:min,C#
21,D:min,D
21,D:min,A
22,A:maj,E
22,A:maj,A
23,D:min,F
24,D#:min,F#
24,D#:min,A
25,C:maj,G
25,C:maj,C
26,A:maj,A
26,A:maj,G
27,D:min,A
27,D:min,F
27,D:min,D
28,B:maj,B
28,B:maj,A
29,C:maj,C
29,C:maj,B
29,C:maj,A
30,C:maj,G
30,C:maj,G
31,A:maj,A#
31,A:maj,A
31,A:maj,G
32,D:min,F
32,D:min,A
33,D:min,C
34,G:maj,B
35,C:maj,C
36,C:maj,C
