measure,chord,note
1,F:maj,A
1,F:maj,C
1,F:maj,C
1,F:maj,C
1,F:maj,C
1,F:maj,C
2,C:maj,E
2,C:maj,D
2,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,G
3,F:maj,G
3,F:maj,C
3,F:maj,C
3,F:maj,C
3,F:maj,C
3,F:maj,D
4,G:maj,B
4,G:maj,A
4,G:maj,G
4,G:maj,G
4,G:maj,C
4,G:maj,G
5,F:maj,A
5,F:maj,C
5,F:maj,C
5,F:maj,C
5,F:maj,C
5,F:maj,A
5,F:maj,G
6,C:maj,E
6,C:maj,D
6,C:maj,C
6,C:maj,C
6,C:maj,C
6,C:maj,G
7,F:maj,A
7,F:maj,C
7,F:maj,C
7,F:maj,C
7,F:maj,D
7,F:maj,C
8,G:maj,B
8,G:maj,C
8,G:maj,C
9,G:maj,B
9,G:maj,G
10,G:maj,E
10,G:maj,F
10,G:maj,G
10,G:maj,E
10,G:maj,E
10,G:maj,B
11,C:maj,C
12,F:maj,C
12,F:maj,E
12,F:maj,D
12,F:maj,C
13,G:maj,D
14,C:maj,D
14,C:maj,F
14,C:maj,G
14,C:maj,E
15,C:maj,E
15,C:maj,E
15,C:maj,C
16,F:maj,C
16,F:maj,E
16,F:maj,D
16,F:maj,C
17,G:maj,D
17,G:maj,B
17,G:maj,G
17,G:maj,G
18,C:maj,C
18,C:maj,C
18,C:maj,C
19,F:maj,A
19,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,A
19,F:maj,G
20,C:maj,E
20,C:maj,D
20,C:maj,C
20,C:maj,C
20,C:maj,C
20,C:maj,G
21,F:maj,A
21,F:maj,C
21,F:maj,C
21,F:maj,C
21,F:maj,G
22,G:maj,D
22,G:maj,B
22,G:maj,G
22,G:maj,G
22,G:maj,G
23,F:maj,A
23,F:maj,C
23,F:maj,C
23,F:maj,A
23,F:maj,G
24,G:maj,E
24,G:maj,D
24,G:maj,C
24,G:maj,C
24,G:maj,G
25,F:maj,A
25,F:maj,C
25,F:maj,C
25,F:maj,C
25,F:maj,D
25,F:maj,B
26,G:maj,B
26,G:maj,E
26,G:maj,E
27,F:maj,G
27,F:maj,E
27,F:maj,E
27,F:maj,E
27,F:maj,E
28,C:maj,E
28,C:maj,D
28,C:maj,C
28,C:maj,C
28,C:maj,C
29,F:maj,A
29,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,C
30,G:maj,D
30,G:maj,B
30,G:maj,A
30,G:maj,G
30,G:maj,G
30,G:maj,E
31,F:maj,A
31,F:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,G
32,C:maj,E
32,C:maj,D
32,C:maj,C
32,C:maj,C
32,C:maj,C
33,F:maj,A
33,F:maj,C
33,F:maj,C
33,F:maj,C
33,F:maj,D
33,F:maj,C
34,G:maj,B
34,G:maj,A
34,G:maj,G
35,G:maj,E
35,G:maj,F
35,G:maj,G
35,G:maj,E
35,G:maj,E
35,G:maj,C
36,C:maj,C
37,F:maj,C
37,F:maj,E
37,F:maj,D
37,F:maj,C
38,G:maj,D
39,C:maj,D
39,C:maj,E
39,C:maj,F
39,C:maj,G
39,C:maj,E
40,C:maj,E
40,C:maj,E
40,C:maj,C
41,F:maj,C
41,F:maj,E
41,F:maj,D
41,F:maj,C
42,G:maj,D
42,G:maj,B
42,G:maj,G
42,G:maj,G
43,C:maj,G
43,C:maj,G
43,C:maj,G
43,C:maj,G
44,G:maj,G
44,G:maj,G
44,G:maj,F
44,G:maj,F
44,G:maj,F
45,F:maj,G
45,F:maj,F
45,F:maj,F
45,F:maj,F
45,F:maj,F
45,F:maj,D
45,F:maj,F
46,C:maj,F
46,C:maj,E
46,C:maj,E
47,C:maj,E
47,C:maj,E
47,C:maj,E
47,C:maj,E
48,D:maj,E
48,D:maj,D
48,D:maj,D
48,D:maj,D
49,D:maj,D
49,D:maj,D
49,D:maj,D
50,F:maj,D
50,F:maj,C
50,F:maj,A
50,F:maj,A
51,F:maj,A
51,F:maj,G
51,F:maj,G
52,G:maj,G
52,G:maj,G
52,G:maj,G
52,G:maj,G
52,G:maj,G
52,G:maj,G
52,G:maj,F
52,G:maj,F
53,F:maj,G
53,F:maj,F
53,F:maj,F
53,F:maj,A
53,F:maj,D
53,F:maj,F
54,C:maj,F
54,C:maj,E
54,C:maj,E
55,C:maj,E
55,C:maj,E
55,C:maj,E
55,C:maj,E
56,D:maj,E
56,D:maj,D
56,D:maj,D
56,D:maj,D
57,D:maj,D
57,D:maj,E
57,D:maj,E
57,D:maj,E
57,D:maj,E
57,D:maj,E
57,D:maj,E
57,D:maj,E
58,F:maj,E
58,F:maj,D
58,F:maj,D
58,F:maj,D
59,C:maj,E
59,C:maj,D
59,C:maj,C
59,C:maj,C
59,C:maj,C
60,G:maj,B
60,G:maj,G
60,G:maj,G
60,G:maj,G
61,G:maj,E
61,G:maj,F
61,G:maj,G
61,G:maj,E
61,G:maj,E
61,G:maj,C
62,C:maj,C
63,F:maj,C
63,F:maj,E
63,F:maj,D
63,F:maj,C
64,G:maj,D
65,C:maj,E
65,C:maj,F
65,C:maj,G
65,C:maj,E
66,C:maj,E
66,C:maj,E
66,C:maj,C
67,F:maj,C
67,F:maj,E
67,F:maj,D
67,F:maj,C
68,G:maj,D
68,G:maj,C
68,G:maj,G
68,G:maj,G
69,C:maj,G
