measure,chord,note
2,C:maj,C
2,C:maj,B
2,C:maj,C
2,C:maj,B
3,C:maj,C
3,C:maj,G
3,C:maj,E
3,C:maj,C
4,G:maj,B
4,G:maj,D
5,G:maj,D
5,G:maj,G
6,G:maj,B
6,G:maj,G
6,G:maj,F
6,G:maj,G
7,G:maj,B
7,G:maj,G
7,G:maj,F
7,G:maj,G
8,C:maj,E
9,C:maj,E
9,C:maj,G
10,C:maj,C
10,C:maj,B
10,C:maj,C
10,C:maj,B
11,C:maj,C
11,C:maj,G
11,C:maj,E
11,C:maj,C
12,F:maj,F
12,F:maj,A
13,F:maj,A
13,F:maj,C
14,G:maj,B
14,G:maj,G
14,G:maj,F
14,G:maj,G
15,G:maj,B
15,G:maj,G
15,G:maj,B
15,G:maj,D
16,C:maj,C
17,C:maj,C
17,C:maj,C
17,C:maj,B
18,F:maj,B
18,F:maj,A
19,G:maj,A
19,G:maj,B
19,G:maj,A
20,F:maj,A
20,F:maj,G
21,A:maj,G
21,A:maj,A
21,A:maj,G
22,D:min,G
22,D:min,F
22,D:min,E
22,D:min,F
23,G:maj,A
23,G:maj,G
24,C:maj,E
25,C:maj,E
25,C:maj,C
25,C:maj,B
26,F:maj,B
26,F:maj,A
27,B:maj,A
27,B:maj,B
27,B:maj,A
28,E:min,A
28,E:min,G
29,A:maj,G
29,A:maj,A
29,A:maj,G
30,D:min,G
30,D:min,F
30,D:min,E
30,D:min,F
31,G:maj,A
31,G:maj,B
32,C:maj,C
33,C:maj,C
33,C:maj,G
34,C:maj,C
35,A:maj,C
35,A:maj,A
35,A:maj,G
36,D:min,G
36,D:min,F
36,D:min,E
36,D:min,F
37,G:maj,A
37,G:maj,B
38,C:maj,C
39,C:maj,C
