measure,chord,note
6,C:maj,E
6,C:maj,G
6,C:maj,G
6,C:maj,G
6,C:maj,G
7,G:maj,F
7,G:maj,G
7,G:maj,G
7,G:maj,G
7,G:maj,G
8,C:maj,E
8,C:maj,G
8,C:maj,B
8,C:maj,A
9,G:maj,G
9,G:maj,F#
9,G:maj,F
9,G:maj,E
9,G:maj,D
9,G:maj,G
9,G:maj,G
10,C:maj,E
10,C:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,G
11,G:maj,D
11,G:maj,B
11,G:maj,B
11,G:maj,B
11,G:maj,B
12,C:maj,A
12,C:maj,D
13,G:maj,G
13,G:maj,G
13,G:maj,G
14,G:maj,G
14,G:maj,E
14,G:maj,F
14,G:maj,G
15,A:maj,A
15,A:maj,A
15,A:maj,A
15,A:maj,A
16,D:min,A
16,D:min,G
16,D:min,F
16,D:min,E
16,D:min,D
16,D:min,E
16,D:min,F
16,D:min,G
17,A:maj,A
17,A:maj,F
17,A:maj,A
17,A:maj,G
17,A:maj,E
17,A:maj,G
18,D:min,F
18,D:min,E
18,D:min,D
18,D:min,D
18,D:min,E
18,D:min,F
19,G:maj,G
19,G:maj,G
19,G:maj,G
19,G:maj,G
20,C:maj,G
20,C:maj,F
20,C:maj,E
20,C:maj,D
20,C:maj,C
20,C:maj,D
20,C:maj,E
20,C:maj,F
21,G:maj,G
21,G:maj,E
21,G:maj,G
21,G:maj,F
21,G:maj,D
21,G:maj,F
22,C:maj,E
22,C:maj,D
22,C:maj,C
22,C:maj,C
22,C:maj,C
23,F:min,C
23,F:min,C
23,F:min,C
23,F:min,C
23,F:min,C
23,F:min,C
24,C:maj,E
24,C:maj,D
24,C:maj,C
24,C:maj,G
24,C:maj,G
25,G:maj,G
25,G:maj,G
25,G:maj,G
26,G:maj,G
26,G:maj,G
26,G:maj,G
27,G:maj,G
28,G:maj,G
28,G:maj,G
28,G:maj,G
29,C:maj,E
29,C:maj,G
29,C:maj,G
29,C:maj,G
29,C:maj,G
30,G:maj,F
30,G:maj,G
30,G:maj,G
30,G:maj,G
30,G:maj,G
31,C:maj,E
31,C:maj,G
31,C:maj,B
31,C:maj,A
32,G:maj,G
32,G:maj,F#
32,G:maj,F
32,G:maj,E
32,G:maj,D
32,G:maj,G
32,G:maj,G
33,C:maj,E
33,C:maj,G
33,C:maj,G
33,C:maj,G
33,C:maj,G
34,G:maj,D
34,G:maj,B
34,G:maj,B
34,G:maj,B
34,G:maj,B
35,C:maj,A
35,C:maj,D
36,G:maj,G
36,G:maj,G
36,G:maj,G
37,C:maj,E
37,C:maj,G
37,C:maj,G
37,C:maj,G
37,C:maj,G
38,G:maj,F
38,G:maj,G
38,G:maj,G
38,G:maj,G
38,G:maj,G
39,C:maj,E
39,C:maj,G
39,C:maj,B
39,C:maj,A
40,G:maj,G
40,G:maj,F#
40,G:maj,F
40,G:maj,E
40,G:maj,D
40,G:maj,G
40,G:maj,G
41,C:maj,E
41,C:maj,G
41,C:maj,G
41,C:maj,G
41,C:maj,G
42,F:maj,F
42,F:maj,A
42,F:maj,A
42,F:maj,C
43,C:maj,E
43,C:maj,D
44,C:maj,C
45,C:maj,C
45,C:maj,E
45,C:maj,G
45,C:maj,G#
45,C:maj,B
46,C:maj,C
46,C:maj,E
46,C:maj,G
46,C:maj,G#
46,C:maj,A
46,C:maj,B
47,C:maj,C
47,C:maj,E
47,C:maj,G
47,C:maj,G#
47,C:maj,A
47,C:maj,B
48,C:maj,C
48,C:maj,E
48,C:maj,E
49,C:maj,G
49,C:maj,C
49,C:maj,E
49,C:maj,A
49,C:maj,G
50,C:maj,G
50,C:maj,C
50,C:maj,E
50,C:maj,A
50,C:maj,G
51,C:maj,G
51,C:maj,G
51,C:maj,G
51,C:maj,C
52,G:maj,C
52,G:maj,B
52,G:maj,B
53,G:maj,G
53,G:maj,C
53,G:maj,E
53,G:maj,A
53,G:maj,G
54,G:maj,G
54,G:maj,C
54,G:maj,E
54,G:maj,A
54,G:maj,G
55,G:maj,G
55,G:maj,G
55,G:maj,G
55,G:maj,D
56,C:maj,D
56,C:maj,C
56,C:maj,C
57,C:maj,G
57,C:maj,C
57,C:maj,E
57,C:maj,A
57,C:maj,G
58,C:maj,G
58,C:maj,C
58,C:maj,E
58,C:maj,A
58,C:maj,G
59,C:maj,G
59,C:maj,G
59,C:maj,G
59,C:maj,C
60,E:min,C
60,E:min,B
60,E:min,B
61,E:min,B
61,E:min,E
61,E:min,B
61,E:min,B
61,E:min,E
61,E:min,B
62,E:min,B
62,E:min,E
62,E:min,B
62,E:min,B
62,E:min,E
62,E:min,B
63,B:maj,B
63,B:maj,B
63,B:maj,B
63,B:maj,A
63,B:maj,G
63,B:maj,F#
64,E:min,E
64,E:min,E
64,E:min,E
64,E:min,E
65,B:maj,F#
65,B:maj,B
65,B:maj,F#
66,E:min,G
66,E:min,E
66,E:min,G
67,B:maj,F#
67,B:maj,A
67,B:maj,G
67,B:maj,F#
68,E:min,G
68,E:min,F#
68,E:min,E
68,E:min,E
69,B:maj,F#
69,B:maj,B
69,B:maj,F#
70,E:min,G
70,E:min,E
70,E:min,E
70,E:min,G
71,B:maj,B
71,B:maj,B
71,B:maj,B
71,B:maj,B
71,B:maj,A
72,E:min,G
72,E:min,F#
72,E:min,E
72,E:min,E
72,E:min,G
72,E:min,B
73,E:min,E
73,E:min,E
73,E:min,G
73,E:min,B
73,E:min,E
73,E:min,E
73,E:min,G
73,E:min,B
74,G:maj,E
74,G:maj,G
75,C:maj,G
75,C:maj,G
75,C:maj,G
75,C:maj,E
76,F:maj,E
76,F:maj,D
76,F:maj,D
77,D:maj,C
77,D:maj,C
77,D:maj,C
77,D:maj,A
78,C:maj,A
78,C:maj,G
78,C:maj,F
78,C:maj,E
79,D:min,D
79,D:min,E
79,D:min,F
79,D:min,G
79,D:min,A
79,D:min,B
80,C:maj,C
80,C:maj,C
