measure,chord,note
2,C:maj,E
2,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,G
3,G:maj,F
3,G:maj,G
3,G:maj,G
3,G:maj,G
3,G:maj,G
4,C:maj,E
4,C:maj,G
4,C:maj,B
4,C:maj,A
5,D:min,G
5,D:min,F#
5,D:min,F
5,D:min,E
5,D:min,D
5,D:min,G
5,D:min,G
6,C:maj,E
6,C:maj,G
6,C:maj,G
6,C:maj,G
6,C:maj,G
7,G:maj,D
7,G:maj,B
7,G:maj,B
7,G:maj,B
7,G:maj,B
8,C:maj,A
8,C:maj,D
9,G:maj,G
9,G:maj,G
9,G:maj,G
10,G:maj,G
10,G:maj,G
10,G:maj,G
11,G:maj,G
11,G:maj,G
11,G:maj,G
12,G:maj,G
13,C:maj,G
13,C:maj,C
13,C:maj,E
13,C:maj,A
13,C:maj,G
14,C:maj,G
14,C:maj,C
14,C:maj,E
14,C:maj,A
14,C:maj,G
15,C:maj,G
15,C:maj,G
15,C:maj,G
15,C:maj,C
16,G:maj,C
16,G:maj,B
16,G:maj,B
17,G:maj,G
17,G:maj,D
17,G:maj,F
17,G:maj,A
17,G:maj,G
18,G:maj,G
18,G:maj,D
18,G:maj,F
18,G:maj,A
18,G:maj,G
19,G:maj,G
19,G:maj,G
19,G:maj,G
19,G:maj,D
20,C:maj,D
20,C:maj,C
20,C:maj,C
21,C:maj,G
21,C:maj,C
21,C:maj,E
21,C:maj,A
21,C:maj,G
22,C:maj,G
22,C:maj,C
22,C:maj,E
22,C:maj,A
22,C:maj,G
23,C:maj,G
23,C:maj,G
23,C:maj,G
23,C:maj,C
24,E:min,C
24,E:min,B
24,E:min,B
25,E:min,B
25,E:min,B
25,E:min,B
25,E:min,B
25,E:min,B
25,E:min,B
26,E:min,B
26,E:min,B
26,E:min,B
26,E:min,B
26,E:min,B
26,E:min,B
27,B:maj,B
27,B:maj,B
27,B:maj,B
27,B:maj,A
27,B:maj,G
27,B:maj,F#
28,E:min,E
29,C:maj,G
29,C:maj,C
29,C:maj,E
29,C:maj,A
29,C:maj,G
30,C:maj,G
30,C:maj,C
30,C:maj,E
30,C:maj,A
30,C:maj,G
31,C:maj,G
31,C:maj,G
31,C:maj,G
31,C:maj,C
32,G:maj,C
32,G:maj,B
32,G:maj,B
33,G:maj,G
33,G:maj,D
33,G:maj,F
33,G:maj,A
33,G:maj,G
34,G:maj,G
34,G:maj,D
34,G:maj,F
34,G:maj,A
34,G:maj,G
35,G:maj,G
35,G:maj,G
35,G:maj,G
35,G:maj,D
36,C:maj,D
36,C:maj,C
36,C:maj,C
37,C:maj,G
37,C:maj,C
37,C:maj,E
37,C:maj,A
37,C:maj,G
38,C:maj,G
38,C:maj,C
38,C:maj,E
38,C:maj,A
38,C:maj,G
39,C:maj,G
39,C:maj,G
39,C:maj,G
39,C:maj,E
40,F:maj,E
40,F:maj,D
40,F:maj,D
41,F#:min,C
41,F#:min,C
41,F#:min,C
41,F#:min,A
42,C:maj,A
42,C:maj,G
42,C:maj,F
42,C:maj,E
43,D:min,D
43,D:min,E
43,D:min,F
43,D:min,G
43,D:min,A
43,D:min,B
44,C:maj,C
