measure,chord,note
1,D:min,F
1,D:min,G
1,D:min,G
1,D:min,D
2,G:maj,F
2,G:maj,G
2,G:maj,D
2,G:maj,F
2,G:maj,G
2,G:maj,C
3,C:maj,E
3,C:maj,G
3,C:maj,G
3,C:maj,C
4,E:min,E
4,E:min,G
4,E:min,C
4,E:min,E
4,E:min,G
4,E:min,D
5,D:min,F
5,D:min,G
5,D:min,G
5,D:min,D
6,G:maj,F
6,G:maj,G
6,G:maj,E
6,G:maj,D
6,G:maj,D
6,G:maj,G
7,C:maj,A
7,C:maj,C
7,C:maj,C
8,E:min,D
9,D:min,F
9,D:min,G
9,D:min,G
9,D:min,D
10,G:maj,F
10,G:maj,G
10,G:maj,D
10,G:maj,F
10,G:maj,G
10,G:maj,C
11,C:maj,E
11,C:maj,G
11,C:maj,G
11,C:maj,C
12,E:min,E
12,E:min,G
12,E:min,C
12,E:min,E
12,E:min,G
12,E:min,D
13,D:min,F
13,D:min,G
13,D:min,G
13,D:min,D
14,G:maj,F
14,G:maj,G
14,G:maj,E
14,G:maj,D
14,G:maj,D
14,G:maj,G
15,C:maj,A
15,C:maj,C
15,C:maj,C
16,C:maj,C
17,E:maj,E
18,E:maj,B
18,E:maj,C#
18,E:maj,D
18,E:maj,E
18,E:maj,F
18,E:maj,F#
19,A:maj,F#
20,A:maj,C#
20,A:maj,B
20,A:maj,B
21,D:maj,D
22,D:maj,A
22,D:maj,B
22,D:maj,C
22,D:maj,D
22,D:maj,D#
22,D:maj,E
23,D:min,E
24,G:maj,B
24,G:maj,A
24,G:maj,A
24,G:maj,D
25,D:min,F
25,D:min,G
25,D:min,G
25,D:min,D
26,G:maj,F
26,G:maj,G
26,G:maj,D
26,G:maj,F
26,G:maj,G
26,G:maj,C
27,C:maj,E
27,C:maj,G
27,C:maj,G
27,C:maj,C
28,E:min,E
28,E:min,G
28,E:min,C
28,E:min,E
28,E:min,G
28,E:min,D
29,D:min,F
29,D:min,G
29,D:min,G
29,D:min,D
30,G:maj,F
30,G:maj,G
30,G:maj,E
30,G:maj,D
30,G:maj,D
30,G:maj,G
31,C:maj,A
31,C:maj,C
31,C:maj,C
