measure,chord,note
1,C:maj,G
1,C:maj,G
2,E:min,G
2,E:min,F
2,E:min,E
3,A:min,F
3,A:min,E
3,A:min,C
4,C:maj,C
4,C:maj,C
5,F:maj,C
5,F:maj,F
5,F:maj,F
6,G:maj,F
6,G:maj,E
6,G:maj,C
7,C:maj,C
7,C:maj,C
7,C:maj,E
7,C:maj,G
7,C:maj,C
8,F:maj,C
8,F:maj,C
8,F:maj,F
8,F:maj,C
8,F:maj,F
9,C:maj,C
9,C:maj,C
9,C:maj,G
9,C:maj,C
9,C:maj,G
11,C:maj,C
11,C:maj,C
11,C:maj,E
11,C:maj,G
11,C:maj,C
12,F:maj,C
12,F:maj,C
12,F:maj,F
12,F:maj,C
12,F:maj,F
13,C:maj,C
13,C:maj,C
13,C:maj,G
13,C:maj,C
13,C:maj,G
14,G:maj,A
14,G:maj,G
14,G:maj,G
15,C:maj,G
15,C:maj,G
15,C:maj,G
16,E:min,G
16,E:min,F
16,E:min,E
17,A:min,F
17,A:min,E
17,A:min,C
18,C:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,C
20,C:maj,C
20,C:maj,C
20,C:maj,D
20,C:maj,D
21,D:maj,D
22,G:maj,D
22,G:maj,G
22,G:maj,G
23,C:maj,G
23,C:maj,G
23,C:maj,G
24,E:min,G
24,E:min,F
24,E:min,E
25,A:min,F
25,A:min,E
25,A:min,C
25,A:min,C
26,C:maj,C
26,C:maj,A
26,C:maj,A
27,F:maj,A
27,F:maj,A
27,F:maj,F
27,F:maj,F
28,G:maj,F
28,G:maj,E
28,G:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,E
29,C:maj,G
29,C:maj,C
30,F:maj,C
30,F:maj,C
30,F:maj,F
30,F:maj,C
30,F:maj,F
31,C:maj,C
31,C:maj,C
31,C:maj,G
31,C:maj,C
31,C:maj,G
32,G:maj,G
32,G:maj,G
33,C:maj,G
33,C:maj,G
33,C:maj,G
34,E:min,G
34,E:min,F
34,E:min,E
35,A:min,F
35,A:min,E
35,A:min,C
36,C:maj,C
36,C:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
38,C:maj,C
38,C:maj,D
38,C:maj,D
39,D:maj,D
40,G:maj,D
40,G:maj,E
40,G:maj,F
41,C:maj,G
41,C:maj,G
41,C:maj,G
42,E:min,G
42,E:min,F
42,E:min,E
43,A:min,F
43,A:min,E
43,A:min,E
44,C:maj,E
44,C:maj,C
45,F:maj,C
45,F:maj,C
45,F:maj,E
46,G:maj,F
46,G:maj,E
46,G:maj,C
47,C:maj,C
48,C:maj,C
49,A:min,A
49,A:min,A
49,A:min,A
50,A:min,A
50,A:min,B
50,A:min,C
51,D:maj,B
51,D:maj,A
51,D:maj,A
53,A:min,A
53,A:min,A
54,A:min,A
54,A:min,B
54,A:min,C
55,D:maj,B
56,D:maj,B
56,D:maj,A
56,D:maj,G
57,G:maj,G
61,C:maj,G
61,C:maj,G
61,C:maj,G
62,E:min,G
62,E:min,F
62,E:min,E
63,A:min,F
63,A:min,E
63,A:min,C
63,A:min,C
64,C:maj,C
65,F:maj,A
65,F:maj,C
65,F:maj,C
66,C:maj,C
66,C:maj,D
67,D:maj,D
68,G:maj,D
68,G:maj,E
68,G:maj,F
69,C:maj,G
69,C:maj,G
69,C:maj,G
70,E:min,G
70,E:min,F
70,E:min,F
71,A:min,F
71,A:min,E
71,A:min,C
72,D:maj,G
73,F:maj,A
73,F:maj,C
73,F:maj,C
74,G:maj,F
74,G:maj,E
74,G:maj,C
75,C:maj,C
75,C:maj,C
75,C:maj,E
75,C:maj,G
75,C:maj,C
76,F:maj,C
76,F:maj,C
76,F:maj,F
76,F:maj,C
76,F:maj,F
77,C:maj,C
77,C:maj,C
77,C:maj,G
77,C:maj,C
77,C:maj,G
78,G:maj,A
78,G:maj,G
78,G:maj,G
79,G:maj,A
79,G:maj,G
79,G:maj,F
80,C:maj,G
80,C:maj,G
81,E:min,G
81,E:min,F
81,E:min,E
82,A:min,F
82,A:min,E
82,A:min,C
83,C:maj,C
83,C:maj,C
84,F:maj,C
84,F:maj,F
84,F:maj,F
85,G:maj,F
85,G:maj,E
85,G:maj,C
86,C:maj,C
86,C:maj,C
86,C:maj,E
86,C:maj,G
86,C:maj,C
87,F:maj,C
87,F:maj,C
87,F:maj,F
87,F:maj,C
87,F:maj,F
88,C:maj,C
88,C:maj,C
88,C:maj,G
88,C:maj,C
88,C:maj,G
90,C:maj,C
90,C:maj,C
90,C:maj,E
90,C:maj,G
90,C:maj,C
91,F:maj,C
91,F:maj,C
91,F:maj,F
91,F:maj,C
91,F:maj,F
92,C:maj,C
92,C:maj,C
92,C:maj,G
92,C:maj,C
92,C:maj,G
93,F:maj,C
93,F:maj,C
93,F:maj,C
94,C:maj,C
95,C:maj,C
