measure,chord,note
1,C:maj,E
1,C:maj,A
1,C:maj,G
1,C:maj,E
2,F:maj,D
2,F:maj,C
2,F:maj,D
2,F:maj,E
3,C:maj,C
3,C:maj,A
4,D:min,G
5,C:maj,E
5,C:maj,A
5,C:maj,G
5,C:maj,E
6,F:maj,D
6,F:maj,C
6,F:maj,D
6,F:maj,E
7,A:min,C
7,A:min,E
7,A:min,B
8,G:maj,G
8,G:maj,G
8,G:maj,G#
9,D:min,A
9,D:min,G
10,G:maj,E
10,G:maj,D
10,G:maj,E
11,C:maj,B
11,C:maj,D
11,C:maj,A
12,A:maj,A
12,A:maj,G
13,D:min,A
13,D:min,C
13,D:min,F
13,D:min,G
14,G:maj,E
14,G:maj,D#
14,G:maj,A
15,E:min,E
16,A:maj,E
16,A:maj,G
16,A:maj,G#
17,D:min,A
17,D:min,G
18,G:maj,E
18,G:maj,D
18,G:maj,E
19,C:maj,B
19,C:maj,D
19,C:maj,A
20,F#:min,A
20,F#:min,A#
21,E:maj,B
21,E:maj,C#
21,E:maj,E
21,E:maj,A
22,F#:min,G#
22,F#:min,F#
22,F#:min,G#
23,E:maj,B
24,E:maj,B
25,D:min,C
25,D:min,B
25,D:min,A
25,D:min,G
26,G:maj,F
26,G:maj,G
26,G:maj,A
27,E:min,G
28,A:maj,E
29,F:min,G#
29,F:min,G
29,F:min,F
29,F:min,E
30,A#:maj,D
30,A#:maj,C
30,A#:maj,D
31,D:min,E
32,G:maj,D
32,G:maj,G
32,G:maj,G#
33,D:min,A
33,D:min,G
34,G:maj,E
34,G:maj,D
34,G:maj,E
35,E:min,B
35,E:min,D
35,E:min,A#
36,A:maj,A
36,A:maj,F
36,A:maj,E
37,D:min,A
37,D:min,G
37,D:min,A
38,G:maj,E
38,G:maj,G
39,C:maj,C
40,D:min,G
40,D:min,G#
41,C:maj,C
42,C:maj,C
