measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
2,C:maj,E
2,C:maj,D
2,C:maj,C
2,C:maj,B
3,D:maj,A
3,D:maj,G#
3,D:maj,A
3,D:maj,B
3,D:maj,C
3,D:maj,D
4,G:maj,G
4,G:maj,F
4,G:maj,E
4,G:maj,D#
5,C:maj,E
5,C:maj,F
5,C:maj,E
5,C:maj,D#
5,C:maj,E
5,C:maj,F
5,C:maj,E
5,C:maj,D#
6,C:maj,E
6,C:maj,D
6,C:maj,C
6,C:maj,F
6,C:maj,E
6,C:maj,D#
7,C:maj,E
7,C:maj,F
7,C:maj,E
7,C:maj,D#
7,C:maj,E
7,C:maj,F
7,C:maj,E
7,C:maj,D#
8,C:maj,E
8,C:maj,A
8,C:maj,G
8,C:maj,G
8,C:maj,E
9,G:maj,F
9,G:maj,A
9,G:maj,G
9,G:maj,G
9,G:maj,D
10,C:maj,E
10,C:maj,A
10,C:maj,G
10,C:maj,G
10,C:maj,E
11,G:maj,D
11,G:maj,B
11,G:maj,C
11,G:maj,A
12,G:maj,G
12,G:maj,G
12,G:maj,F#
12,G:maj,G
12,G:maj,A
12,G:maj,G
12,G:maj,F
13,D:maj,F#
13,D:maj,E
13,D:maj,D
14,C:maj,E
14,C:maj,D
14,C:maj,C
15,G:maj,B
15,G:maj,A
15,G:maj,G
15,G:maj,F
15,G:maj,E
15,G:maj,D
16,C:maj,C
16,C:maj,C
16,C:maj,C
16,C:maj,D
16,C:maj,C
16,C:maj,B
17,F:maj,C
17,F:maj,D
17,F:maj,C
17,F:maj,B
17,F:maj,C
17,F:maj,D
17,F:maj,C
17,F:maj,B
18,F:maj,C
18,F:maj,F
18,F:maj,A
18,F:maj,D
18,F:maj,C
18,F:maj,B
19,C:maj,C
19,C:maj,D
19,C:maj,C
19,C:maj,B
19,C:maj,C
19,C:maj,D
19,C:maj,C
19,C:maj,B
20,C:maj,C
20,C:maj,E
20,C:maj,G
20,C:maj,G
21,G:maj,G
21,G:maj,F
21,G:maj,A
22,C:maj,A
22,C:maj,G
22,C:maj,C
23,G:maj,B
23,G:maj,B
23,G:maj,A
23,G:maj,G
23,G:maj,F
24,C:maj,A
24,C:maj,A
24,C:maj,G
24,C:maj,F
24,C:maj,E
25,G:maj,G
25,G:maj,F
25,G:maj,A
26,C:maj,A
26,C:maj,G
26,C:maj,C
27,A:min,B
27,A:min,B
27,A:min,G#
27,A:min,A
27,A:min,C
28,C:maj,B
28,C:maj,B
28,C:maj,G#
28,C:maj,A
28,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
30,C:maj,C
30,C:maj,E
30,C:maj,E
30,C:maj,E
30,C:maj,E
30,C:maj,E
31,C:maj,E
31,C:maj,F
31,C:maj,E
31,C:maj,D#
31,C:maj,E
31,C:maj,F
31,C:maj,E
31,C:maj,D#
32,C:maj,E
32,C:maj,F
32,C:maj,E
32,C:maj,D#
32,C:maj,E
32,C:maj,F
32,C:maj,E
32,C:maj,D#
33,C:maj,E
33,C:maj,F
33,C:maj,E
33,C:maj,D#
33,C:maj,E
33,C:maj,F
33,C:maj,E
33,C:maj,D#
34,C:maj,E
34,C:maj,D
34,C:maj,C
34,C:maj,F
34,C:maj,E
34,C:maj,D#
35,C:maj,E
35,C:maj,F
35,C:maj,E
35,C:maj,D#
35,C:maj,E
35,C:maj,F
35,C:maj,E
35,C:maj,D#
36,C:maj,E
36,C:maj,A
36,C:maj,G
36,C:maj,G
36,C:maj,E
37,G:maj,F
37,G:maj,A
37,G:maj,G
37,G:maj,G
37,G:maj,D
38,C:maj,E
38,C:maj,A
38,C:maj,G
38,C:maj,G
38,C:maj,E
39,G:maj,D
39,G:maj,B
39,G:maj,C
39,G:maj,A
40,G:maj,G
40,G:maj,G
40,G:maj,F#
40,G:maj,G
40,G:maj,A
40,G:maj,G
40,G:maj,F
41,D:maj,F#
41,D:maj,E
41,D:maj,D
42,G:maj,B
42,G:maj,A
42,G:maj,G
42,G:maj,F
42,G:maj,E
42,G:maj,D
43,C:maj,C
43,C:maj,C
43,C:maj,C
