measure,chord,note
9,C:maj,G
9,C:maj,A
9,C:maj,B
10,A:min,D
10,A:min,C
10,A:min,B
10,A:min,C
11,F:maj,A
11,F:maj,G
11,F:maj,G
11,F:maj,F#
12,G:maj,G
13,C:maj,G
13,C:maj,A
13,C:maj,B
14,A:min,D
14,A:min,C
14,A:min,B
14,A:min,C
15,F:maj,A
15,F:maj,G
15,F:maj,G
15,F:maj,F#
16,C:maj,G
17,F:maj,A
17,F:maj,G
17,F:maj,F
18,F:min,E
18,F:min,D
18,F:min,E
18,F:min,F
19,C:maj,G
19,C:maj,G
19,C:maj,E
19,C:maj,C
20,D#:maj,A
20,D#:maj,B
20,D#:maj,B
21,D:min,C
21,D:min,C
21,D:min,C
22,F:maj,C
22,F:maj,B
22,F:maj,A
22,F:maj,B
23,C:maj,A
23,C:maj,G
24,G:maj,G
25,C:maj,D
25,C:maj,C
26,C:maj,C
27,G#:maj,G
27,G#:maj,A#
27,G#:maj,C
28,G#:maj,C#
28,G#:maj,D#
28,G#:maj,F
28,G#:maj,F#
29,C#:maj,G#
29,C#:maj,G#
29,C#:maj,F
29,C#:maj,C#
30,C#:maj,A#
30,C#:maj,G#
31,D#:min,A#
31,D#:min,G#
31,D#:min,G#
31,D#:min,G#
32,D#:min,A#
32,D#:min,G#
32,D#:min,C#
32,D#:min,D#
33,C#:maj,F
34,C#:maj,F
35,A:maj,A
35,A:maj,B
35,A:maj,C#
36,A:maj,D
36,A:maj,E
36,A:maj,F#
36,A:maj,G
37,D:maj,A
37,D:maj,A
37,D:maj,F#
37,D:maj,D
38,B:min,B
38,B:min,A
39,A:maj,B
39,A:maj,A
39,A:maj,A
39,A:maj,A
40,G:maj,D
40,G:maj,E
40,G:maj,F#
40,G:maj,D
41,D:maj,G
42,D:maj,G
43,C:maj,G
43,C:maj,A
43,C:maj,B
44,A:min,D
44,A:min,C
44,A:min,B
44,A:min,C
45,F:maj,A
45,F:maj,G
45,F:maj,G
45,F:maj,F#
46,G:maj,G
47,C:maj,G
47,C:maj,A
47,C:maj,B
48,A:min,D
48,A:min,C
48,A:min,B
48,A:min,C
49,F:maj,A
49,F:maj,G
49,F:maj,G
49,F:maj,F#
50,C:maj,G
51,F#:maj,A
51,F#:maj,G
51,F#:maj,F
52,F:min,E
52,F:min,D
52,F:min,E
52,F:min,F
53,C:maj,G
53,C:maj,G
53,C:maj,E
53,C:maj,C
54,D#:maj,A
54,D#:maj,B
54,D#:maj,B
55,D:min,C
55,D:min,C
55,D:min,C
56,G:maj,C
56,G:maj,B
56,G:maj,A
56,G:maj,B
57,C:maj,D
57,C:maj,C
58,C:maj,C
58,C:maj,B
59,C:maj,D
59,C:maj,C
60,C:maj,C
60,C:maj,B
61,G:maj,D
62,G:maj,C
