measure,chord,note
1,G:maj,G
1,G:maj,G
2,C:maj,E
2,C:maj,G
2,C:maj,E
2,C:maj,D
3,C:maj,C
3,C:maj,G
3,C:maj,G
3,C:maj,E
4,C:maj,G
4,C:maj,G
4,C:maj,A
4,C:maj,A
5,F:maj,F
5,F:maj,C
5,F:maj,D
5,F:maj,C
6,C:maj,G
6,C:maj,E
6,C:maj,C
7,G:maj,G
7,G:maj,E
8,C:maj,D
8,C:maj,C
9,D:maj,C
9,D:maj,G
9,D:maj,G
10,C:maj,E
10,C:maj,G
10,C:maj,E
10,C:maj,D
11,C:maj,C
11,C:maj,G
11,C:maj,E
12,C:maj,G
12,C:maj,G
12,C:maj,A
12,C:maj,A
13,F:maj,F
13,F:maj,C
13,F:maj,D
13,F:maj,C
14,C:maj,G
14,C:maj,E
14,C:maj,C
15,G:maj,G
15,G:maj,E
16,C:maj,D
16,C:maj,C
17,C:maj,C
17,C:maj,A
18,F:maj,A
18,F:maj,A
18,F:maj,F
18,F:maj,G
19,F:maj,A
19,F:maj,A
19,F:maj,A
20,C:maj,A
20,C:maj,G
20,C:maj,G
20,C:maj,E
21,C:maj,G
21,C:maj,C
21,C:maj,D
22,A:min,E
22,A:min,E
22,A:min,D
22,A:min,C
23,D:maj,E
23,D:maj,D
23,D:maj,A
24,D:maj,A
24,D:maj,D
24,D:maj,E
24,D:maj,F#
25,G:maj,G
25,G:maj,G
25,G:maj,G
26,C:maj,E
26,C:maj,G
26,C:maj,E
26,C:maj,D
27,C:maj,C
27,C:maj,G
27,C:maj,E
28,C:maj,G
28,C:maj,G
28,C:maj,A
28,C:maj,A
29,F:maj,F
29,F:maj,C
29,F:maj,D
29,F:maj,C
30,C:maj,G
30,C:maj,E
30,C:maj,C
31,G:maj,G
31,G:maj,E
32,C:maj,D
32,C:maj,C
33,G:maj,C
