measure,chord,note
6,G:maj,D
7,G:maj,D
8,G:maj,D
8,G:maj,D
8,G:maj,D
9,G:maj,F
9,G:maj,F
9,G:maj,G
9,G:maj,G
10,C:maj,F
10,C:maj,E
11,C:maj,E
12,C:maj,E
12,C:maj,F
13,C:maj,G
13,C:maj,G
13,C:maj,A
13,C:maj,G
13,C:maj,A
13,C:maj,A
14,F:maj,F
15,F:maj,F
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
17,G:maj,G
17,G:maj,G
17,G:maj,E
17,G:maj,E
18,C:maj,C
19,C:maj,C
20,D:min,D
20,D:min,E
21,G:maj,F
21,G:maj,F
21,G:maj,F
21,G:maj,E
22,C:maj,D
22,C:maj,E
22,C:maj,C
23,C:maj,C
24,D:min,D
24,D:min,D
24,D:min,E
25,G:maj,F
25,G:maj,F
25,G:maj,A
25,G:maj,G
26,C:maj,G
27,C:maj,G
28,D:min,D
28,D:min,D
28,D:min,E
29,G:maj,F
29,G:maj,F
29,G:maj,E
30,C:maj,C
30,C:maj,E
30,C:maj,C
31,C:maj,C
32,D:min,C
33,G:maj,D
34,D:min,F
35,G:maj,G
35,G:maj,G
36,C:maj,C
37,C:maj,C
