measure,chord,note
1,C:maj,G
1,C:maj,G
1,C:maj,A
1,C:maj,G
2,C:maj,E
2,C:maj,E
2,C:maj,D
2,C:maj,C
3,F:maj,C
3,F:maj,C
3,F:maj,D
3,F:maj,E
4,G:maj,G
4,G:maj,G
5,G:maj,F
5,G:maj,G
5,G:maj,A
5,G:maj,F
6,G:maj,G
6,G:maj,E
6,G:maj,D
6,G:maj,C
7,D:maj,E
7,D:maj,D
7,D:maj,D
7,D:maj,E
8,G:maj,D
8,G:maj,G
9,C:maj,G
9,C:maj,G
9,C:maj,A
9,C:maj,G
10,C:maj,E
10,C:maj,E
10,C:maj,D
10,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,D
11,C:maj,E
12,F:maj,F
12,F:maj,F
13,D:maj,D
13,D:maj,E
13,D:maj,F#
13,D:maj,G
14,D:maj,A
14,D:maj,F#
14,D:maj,E
14,D:maj,D
15,D:maj,A
15,D:maj,G#
15,D:maj,A
15,D:maj,B
16,G:maj,G
17,C:maj,A
17,C:maj,G
17,C:maj,E
17,C:maj,E
18,F:maj,D
18,F:maj,C
18,F:maj,C
18,F:maj,D
19,C:maj,E
19,C:maj,E
19,C:maj,C
19,C:maj,A
20,G:maj,G
21,C:maj,C
21,C:maj,C
21,C:maj,C
21,C:maj,C
22,A:min,A
22,A:min,G
22,A:min,F#
22,A:min,G
23,D:maj,A
23,D:maj,D
23,D:maj,D
23,D:maj,E
24,G:maj,D
24,G:maj,G
24,G:maj,G
25,C:maj,A
25,C:maj,G
25,C:maj,G
25,C:maj,E
26,C:maj,C
26,C:maj,D
26,C:maj,E
27,F:maj,G
27,F:maj,F#
27,F:maj,F
27,F:maj,D
28,D:maj,A
29,G:maj,B
29,G:maj,B
29,G:maj,A
29,G:maj,G
30,G:maj,B
30,G:maj,A
30,G:maj,G
30,G:maj,E
31,G:maj,D
32,C:maj,C
