measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,C
3,G:maj,E
3,G:maj,E
3,G:maj,E
3,G:maj,D
4,C:maj,C
5,G:maj,D
5,G:maj,D
5,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,D
7,D:min,F
7,D:min,F
7,D:min,F
7,D:min,E
8,G:maj,D
9,C:maj,E
9,C:maj,E
9,C:maj,C
10,E:min,G
11,F:maj,A
11,F:maj,A
11,F:maj,F
12,A:min,C
13,G:maj,B
13,G:maj,A
13,G:maj,G
14,G:maj,G
15,D:min,A
15,D:min,F
15,D:min,D
16,G:maj,D
17,C:maj,E
17,C:maj,D
17,C:maj,C
18,C:maj,C
19,C:maj,C
20,C:maj,C
21,G:maj,C
22,G:maj,E
23,C:maj,G
23,C:maj,A
23,C:maj,G
23,C:maj,F
24,C:maj,E
24,C:maj,C
24,C:maj,E
24,C:maj,F
25,C:maj,G
25,C:maj,A
25,C:maj,G
25,C:maj,F
26,C:maj,E
26,C:maj,E
27,C:maj,G
27,C:maj,A
27,C:maj,G
27,C:maj,F
28,C:maj,E
28,C:maj,C
28,C:maj,E
28,C:maj,G
29,G:maj,D
30,G:maj,E
31,C:maj,G
31,C:maj,A
31,C:maj,G
31,C:maj,F
32,C:maj,E
32,C:maj,C
32,C:maj,E
32,C:maj,G
33,F:maj,C
33,F:maj,D
33,F:maj,C
33,F:maj,B
34,F:maj,A
34,F:maj,A
35,C:maj,G
35,C:maj,G
36,G:maj,A
36,G:maj,A
36,G:maj,G
36,G:maj,E
36,G:maj,D
37,C:maj,C
38,C:maj,C
