measure,chord,note
2,F:maj,C
2,F:maj,C
2,F:maj,C
3,F:maj,C
3,F:maj,C
3,F:maj,C
3,F:maj,C
4,G:min,C
4,G:min,A#
4,G:min,A#
4,G:min,A
5,D#:maj,G
5,D#:maj,C
5,D#:maj,C
6,F:maj,C
6,F:maj,C
6,F:maj,C
7,F:maj,C
7,F:maj,C
7,F:maj,A#
7,F:maj,A
8,G:min,A#
8,G:min,A
8,G:min,F
9,A#:maj,F
9,A#:maj,C
9,A#:maj,C
10,F:maj,C
10,F:maj,C
10,F:maj,C
10,F:maj,D
11,F:maj,F
11,F:maj,D
11,F:maj,C
11,F:maj,C
12,G:min,C
12,G:min,A#
12,G:min,A#
12,G:min,A#
12,G:min,A
13,D#:maj,G
13,D#:maj,C
13,D#:maj,C
14,F:maj,C
14,F:maj,C
14,F:maj,C
14,F:maj,D
14,F:maj,D
15,F:maj,C
15,F:maj,C
15,F:maj,A#
15,F:maj,A
15,F:maj,F
16,G:min,F
17,A#:maj,F
17,A#:maj,C
17,A#:maj,C
18,F:maj,C
18,F:maj,C
18,F:maj,C
18,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,C
20,G:min,C
20,G:min,A#
20,G:min,A#
20,G:min,A#
20,G:min,A
21,D#:maj,G
21,D#:maj,C
21,D#:maj,C
22,F:maj,C
22,F:maj,C
23,F:maj,C
23,F:maj,C
23,F:maj,A#
23,F:maj,A
24,G:min,F
25,A#:maj,F
25,A#:maj,C
25,A#:maj,C
26,F:maj,C
26,F:maj,C
26,F:maj,C
26,F:maj,D
27,F:maj,F
27,F:maj,D
27,F:maj,C
27,F:maj,C
28,G:min,C
28,G:min,A#
28,G:min,A#
28,G:min,A
28,G:min,G
29,D#:maj,G
29,D#:maj,C
29,D#:maj,C
30,F:maj,C
30,F:maj,C
30,F:maj,C
30,F:maj,A
30,F:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,A#
31,F:maj,A
31,F:maj,F
32,G:min,F
33,A#:maj,F
33,A#:maj,F
33,A#:maj,F
34,A#:maj,D
34,A#:maj,D
34,A#:maj,D
34,A#:maj,D
35,C:maj,D
35,C:maj,C
35,C:maj,C
35,C:maj,C
35,C:maj,A
35,C:maj,D
36,F:maj,C
37,F:maj,C
37,F:maj,D
38,A#:maj,D
38,A#:maj,D
38,A#:maj,D
38,A#:maj,C
38,A#:maj,C
39,C:maj,C
39,C:maj,C
39,C:maj,A#
39,C:maj,A
40,F:maj,A
41,F:maj,A
41,F:maj,F
42,A#:maj,D
42,A#:maj,D
42,A#:maj,D
42,A#:maj,D
43,C:maj,E
43,C:maj,E
43,C:maj,D
43,C:maj,C
43,C:maj,C
44,F:maj,C
44,F:maj,C
44,F:maj,C
44,F:maj,C
44,F:maj,D
44,F:maj,E
45,A#:maj,F
46,A#:maj,F
47,A#:maj,F
48,A#:maj,C
48,A#:maj,F
48,A#:maj,D
48,A#:maj,A#
49,C:maj,C
50,C:maj,C
50,C:maj,C
50,C:maj,A#
50,C:maj,A
51,G:min,G
51,G:min,F
52,A#:maj,F
52,A#:maj,D
52,A#:maj,D
52,A#:maj,D
52,A#:maj,C
52,A#:maj,C
53,F:maj,C
54,F:maj,C
54,F:maj,C
54,F:maj,A#
54,F:maj,A
55,G:min,G
55,G:min,F
56,A#:maj,F
56,A#:maj,C
57,A#:maj,F
57,A#:maj,C
57,A#:maj,C
58,F:maj,C
59,F:maj,C
59,F:maj,F
59,F:maj,F
60,A#:maj,F
60,A#:maj,F
60,A#:maj,F
60,A#:maj,F
61,C:maj,E
61,C:maj,E
61,C:maj,E
61,C:maj,D
61,C:maj,C
61,C:maj,D
62,F:maj,C
63,F:maj,C
63,F:maj,F
64,A#:maj,F
64,A#:maj,F
64,A#:maj,F
64,A#:maj,E
64,A#:maj,E
65,C:maj,E
65,C:maj,E
65,C:maj,A#
65,C:maj,A#
66,F:maj,A
67,F:maj,A
68,A#:maj,D
68,A#:maj,D
68,A#:maj,D
68,A#:maj,D
69,C:maj,E
69,C:maj,E
69,C:maj,D
69,C:maj,C
69,C:maj,C
70,F:maj,F
70,F:maj,F
70,F:maj,F
70,F:maj,C
71,A#:maj,D
71,A#:maj,F
72,A#:maj,F
73,A#:maj,F
74,A#:maj,D
74,A#:maj,F
74,A#:maj,D
74,A#:maj,A#
75,F:maj,C
76,F:maj,C
76,F:maj,C
76,F:maj,A#
76,F:maj,A
77,G:min,G
77,G:min,F
78,A#:maj,F
78,A#:maj,D
78,A#:maj,D
78,A#:maj,D
78,A#:maj,C
78,A#:maj,A#
