measure,chord,note
1,D:min,A
1,D:min,G
1,D:min,A
2,G:maj,B
2,G:maj,C
2,G:maj,A
3,C:maj,C
3,C:maj,A
3,C:maj,A
4,C:min,A
4,C:min,C
4,C:min,A
5,D:min,C
5,D:min,B
5,D:min,G
6,G:maj,B
6,G:maj,A
6,G:maj,G
6,G:maj,E
7,C:maj,E
8,E:maj,E
8,E:maj,E
9,A:maj,A
9,A:maj,G#
9,A:maj,A
10,A:maj,E
10,A:maj,C#
10,A:maj,A
11,D:min,G
11,D:min,F
11,D:min,A
12,D:min,A
12,D:min,A
12,D:min,B
13,D:maj,C
13,D:maj,B
13,D:maj,C
14,D:maj,E
14,D:maj,C
15,D:min,D
16,G:maj,D
16,G:maj,C
16,G:maj,B
17,D:min,A
17,D:min,G
17,D:min,A
18,F:maj,B
18,F:maj,C
18,F:maj,A
19,C:maj,C
19,C:maj,A
19,C:maj,A
20,C:min,A
20,C:min,C
20,C:min,A
21,D:min,C
21,D:min,B
21,D:min,G
22,G:maj,B
22,G:maj,A
22,G:maj,G
23,E:maj,E
23,E:maj,E
24,E:maj,E
24,E:maj,D#
24,E:maj,E
25,A:maj,F
25,A:maj,E
25,A:maj,C#
26,A:maj,B
26,A:maj,C#
26,A:maj,A
27,D:maj,E
27,D:maj,C
27,D:maj,E
28,D:maj,E
28,D:maj,D
28,D:maj,C
29,D:min,A
29,D:min,C
29,D:min,A
30,G:maj,A
30,G:maj,G
31,C:maj,C
