measure,chord,note
10,A:maj,A
11,A:min,E
12,G:maj,C
12,G:maj,B
12,G:maj,A
12,G:maj,B
13,F:maj,A
13,F:maj,B
13,F:maj,A
13,F:maj,B
13,F:maj,G
15,D:min,E
15,D:min,E
15,D:min,F
15,D:min,A
15,D:min,G
16,G:maj,G
16,G:maj,A
16,G:maj,G
16,G:maj,A
16,G:maj,A
16,G:maj,A
17,A:maj,D#
17,A:maj,D
17,A:maj,C
17,A:maj,A
17,A:maj,A
17,A:maj,G
18,A:maj,A
18,A:maj,C
19,A:min,C
19,A:min,A
20,G:maj,G
20,G:maj,A
20,G:maj,A
20,G:maj,G
21,F:maj,A
21,F:maj,B
21,F:maj,C
21,F:maj,A
21,F:maj,B
23,E:min,C
23,E:min,B
23,E:min,A
23,E:min,A
24,G:maj,B
24,G:maj,A
24,G:maj,G
24,G:maj,A
24,G:maj,C
25,A:maj,C
25,A:maj,B
25,A:maj,A
25,A:maj,B
25,A:maj,G
25,A:maj,A
26,A:maj,A
26,A:maj,A
26,A:maj,D
27,D:min,D
27,D:min,A
28,G:maj,G
28,G:maj,A
28,G:maj,A
28,G:maj,G
29,A:maj,A
29,A:maj,A
29,A:maj,G
29,A:maj,A
29,A:maj,A
29,A:maj,C
30,A:maj,D
31,D:min,D
31,D:min,A
32,G:maj,G
32,G:maj,A
32,G:maj,A
32,G:maj,G
33,A:maj,A
33,A:maj,A
33,A:maj,G
33,A:maj,A
33,A:maj,A
33,A:maj,A
35,C:maj,E
35,C:maj,D
35,C:maj,C
35,C:maj,D
35,C:maj,D
35,C:maj,C
37,G:maj,E
37,G:maj,D
37,G:maj,C
37,G:maj,D
37,G:maj,D
37,G:maj,D
39,A:min,E
39,A:min,D
39,A:min,C
39,A:min,D
39,A:min,D
39,A:min,C
41,C:maj,E
41,C:maj,D
41,C:maj,C
41,C:maj,D
41,C:maj,D
41,C:maj,C
43,G:maj,E
43,G:maj,D
43,G:maj,C
43,G:maj,D
43,G:maj,D
43,G:maj,D
44,A:maj,C
50,A:min,C
51,A:min,D
51,A:min,E
51,A:min,E
51,A:min,E
51,A:min,G
51,A:min,A
52,A:min,C
53,A:min,B
53,A:min,C
53,A:min,B
53,A:min,C
53,A:min,C
53,A:min,B
53,A:min,D
54,A:min,A
55,A:min,C
55,A:min,B
55,A:min,B
55,A:min,A
55,A:min,A
55,A:min,B
55,A:min,A
55,A:min,A
55,A:min,C
55,A:min,B
56,A:min,B
56,A:min,B
56,A:min,B
56,A:min,G
56,A:min,A
56,A:min,C
57,A:min,C
57,A:min,B
57,A:min,A
57,A:min,G
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,E
58,A:min,E
58,A:min,E
59,A:min,C
59,A:min,C
59,A:min,B
59,A:min,B
59,A:min,A
59,A:min,C
60,A:min,C
60,A:min,E
61,A:min,C
61,A:min,C
61,A:min,B
61,A:min,B
61,A:min,A
61,A:min,D
62,A:min,D
63,A:min,D
63,A:min,C
63,A:min,A
63,A:min,C
63,A:min,A
63,A:min,B
64,A:min,B
64,A:min,C
64,A:min,B
64,A:min,A
64,A:min,A
64,A:min,A
64,A:min,G
64,A:min,A
65,A:min,A
65,A:min,A
65,A:min,A
66,A:min,D
67,D:min,D
67,D:min,A
68,G:maj,G
68,G:maj,A
68,G:maj,A
68,G:maj,G
69,A:maj,A
69,A:maj,A
69,A:maj,G
69,A:maj,A
69,A:maj,A
69,A:maj,C
70,A:maj,D
71,D:min,D
71,D:min,A
72,G:maj,G
72,G:maj,A
72,G:maj,A
72,G:maj,G
73,A:maj,A
73,A:maj,A
73,A:maj,G
73,A:maj,A
73,A:maj,A
73,A:maj,A
74,D:min,E
74,D:min,D
74,D:min,D
74,D:min,C
75,C:maj,E
75,C:maj,D
75,C:maj,C
75,C:maj,D
75,C:maj,D
75,C:maj,C
77,G:maj,E
77,G:maj,D
77,G:maj,C
77,G:maj,D
77,G:maj,D
77,G:maj,C
79,A:min,E
79,A:min,D
79,A:min,C
79,A:min,D
79,A:min,D
79,A:min,C
81,C:maj,E
81,C:maj,D
81,C:maj,C
81,C:maj,D
81,C:maj,D
81,C:maj,C
83,G:maj,E
83,G:maj,D
83,G:maj,C
83,G:maj,D
83,G:maj,D
83,G:maj,D
85,A:min,E
85,A:min,D
85,A:min,C
85,A:min,D
85,A:min,D
85,A:min,C
87,C:maj,E
87,C:maj,D
87,C:maj,C
87,C:maj,D
87,C:maj,D
87,C:maj,C
89,G:maj,E
89,G:maj,D
89,G:maj,C
89,G:maj,D
89,G:maj,D
89,G:maj,D
91,A:min,E
91,A:min,D
91,A:min,C
91,A:min,D
91,A:min,D
91,A:min,C
93,C:maj,E
93,C:maj,D
93,C:maj,C
93,C:maj,D
93,C:maj,D
93,C:maj,C
