measure,chord,note
1,G:maj,G
2,C:maj,A
3,C:maj,G
3,C:maj,A
3,C:maj,G
3,C:maj,A
3,C:maj,G
4,G:min,A#
5,G:maj,G
5,G:maj,A
5,G:maj,G
5,G:maj,A
5,G:maj,G
6,E:min,B
7,A:min,B
7,A:min,C
7,A:min,D
7,A:min,C
7,A:min,D
7,A:min,C
8,F:maj,E
8,F:maj,D
8,F:maj,C
8,F:maj,A
9,F:min,E
9,F:min,F
9,F:min,G
9,F:min,F
10,C:maj,G#
10,C:maj,G#
10,C:maj,G
10,C:maj,E
10,C:maj,C
11,F:min,G#
11,F:min,A#
11,F:min,G#
11,F:min,A#
12,C:maj,G
13,D:min,G
13,D:min,G
14,F:min,G#
14,F:min,A#
14,F:min,G#
14,F:min,D#
15,C:maj,C
16,C:maj,C
16,C:maj,C
17,F:min,C
17,F:min,C
17,F:min,C
18,G:maj,C
18,G:maj,A#
18,G:maj,G#
18,G:maj,G
18,G:maj,A#
18,G:maj,G#
19,C:maj,G
20,C:maj,G
20,C:maj,C
21,F:min,C
21,F:min,C
21,F:min,C
22,F:min,C
22,F:min,F
22,F:min,G
22,F:min,A#
22,F:min,G#
23,D:min,G
24,G:maj,G
24,G:maj,G
25,C:maj,A
26,C:maj,G
26,C:maj,A
26,C:maj,G
26,C:maj,A
26,C:maj,G
27,G:min,A#
28,G:maj,G
28,G:maj,A
28,G:maj,G
28,G:maj,A
28,G:maj,G
29,E:min,B
30,A:min,B
30,A:min,C
30,A:min,D
30,A:min,C
30,A:min,D
30,A:min,C
31,F:maj,E
31,F:maj,D
31,F:maj,C
31,F:maj,A
32,F:min,E
32,F:min,F
32,F:min,G
32,F:min,F
33,C:maj,G#
33,C:maj,G#
33,C:maj,G
33,C:maj,E
33,C:maj,C
34,F:min,G#
34,F:min,A#
34,F:min,G#
34,F:min,D#
35,C:maj,C
36,C:maj,C
