measure,chord,note
1,A:min,A
1,A:min,A
1,A:min,B
2,C:maj,C
2,C:maj,C
2,C:maj,D
3,C:maj,E
3,C:maj,E
3,C:maj,C
4,A:min,E
4,A:min,E
4,A:min,C
5,A:min,C
5,A:min,C
5,A:min,E
6,B:maj,B
6,B:maj,B
6,B:maj,E
7,A:min,A
8,D#:min,A
9,C:maj,C
9,C:maj,C
9,C:maj,D
10,E:min,E
10,E:min,E
10,E:min,F
11,C:maj,G
11,C:maj,G
11,C:maj,E
12,A:min,G
12,A:min,G
12,A:min,F
13,C:maj,E
13,C:maj,E
13,C:maj,G
14,G#:min,D#
14,G#:min,D#
14,G#:min,G
15,A:min,E
16,B:maj,E
17,E:maj,E
17,E:maj,E
17,E:maj,F#
18,E:maj,G#
18,E:maj,G#
18,E:maj,A
19,C:min,C
20,E:maj,B
21,A:min,A
22,C:maj,G
22,C:maj,G
22,C:maj,E
23,D:min,D
24,F:maj,C
24,F:maj,D
25,A:min,E
25,A:min,E
25,A:min,D#
26,A:min,E
26,A:min,E
26,A:min,F
27,G:maj,D
27,G:maj,D
27,G:maj,C#
28,D:min,D
28,D:min,E
28,D:min,D
29,A:min,C
29,A:min,C
29,A:min,E
30,E:maj,B
30,E:maj,B
30,E:maj,E
31,A:min,A
31,A:min,A
31,A:min,G
32,E:min,E
32,E:min,D
32,E:min,B
33,E:maj,A
34,E:maj,A
