measure,chord,note
2,C:maj,C
2,C:maj,C
3,C:maj,C
3,C:maj,E
3,C:maj,G
4,A:min,A
4,A:min,A
5,A:min,A
5,A:min,A
5,A:min,G
6,F:maj,G
6,F:maj,F
7,F:maj,F
7,F:maj,F
7,F:maj,E
8,C:maj,E
9,C:maj,E
9,C:maj,F
9,C:maj,E
10,D:maj,E
10,D:maj,D
10,D:maj,D
11,D:maj,D
11,D:maj,E
11,D:maj,D
12,A:min,C
12,A:min,C
13,A:min,C
13,A:min,G
13,A:min,A
14,D:min,E
14,D:min,D
14,D:min,D
15,G:maj,D
15,G:maj,D
15,G:maj,C
16,C:maj,C
17,G:maj,G
17,G:maj,A
18,C:maj,C
18,C:maj,C
19,C:maj,C
19,C:maj,E
19,C:maj,G
20,A:min,A
20,A:min,A
21,A:min,A
21,A:min,A
21,A:min,G
22,F:maj,G
22,F:maj,F
23,F:maj,F
23,F:maj,F
23,F:maj,E
24,C:maj,E
25,C:maj,E
25,C:maj,F
25,C:maj,E
26,D:maj,E
26,D:maj,D
26,D:maj,D
27,D:maj,D
27,D:maj,E
27,D:maj,D
28,A:min,C
28,A:min,C
29,A:min,C
29,A:min,G
29,A:min,A
30,D:min,E
30,D:min,D
30,D:min,D
31,G:maj,D
31,G:maj,D
31,G:maj,C
32,C:maj,C
33,C:maj,C
