measure,chord,note
7,C:maj,C
7,C:maj,C
7,C:maj,C
7,C:maj,D
7,C:maj,C
7,C:maj,A
7,C:maj,G
7,C:maj,A
8,C:maj,C
8,C:maj,C
8,C:maj,D
8,C:maj,C
8,C:maj,E
8,C:maj,E
8,C:maj,G
9,D:maj,G
9,D:maj,E
9,D:maj,D
9,D:maj,C
10,G:maj,D
10,G:maj,E
10,G:maj,D
11,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,D
11,C:maj,C
11,C:maj,A
11,C:maj,G
11,C:maj,A
12,C:maj,C
12,C:maj,C
12,C:maj,D
12,C:maj,C
12,C:maj,E
12,C:maj,E
12,C:maj,G
13,G:maj,G
13,G:maj,E
13,G:maj,D
14,C:maj,C
14,C:maj,G
14,C:maj,A
15,C:maj,C
15,C:maj,E
15,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,D
16,C:maj,C
16,C:maj,A
16,C:maj,G
17,A:min,E
17,A:min,E
17,A:min,E
17,A:min,E
17,A:min,D
17,A:min,C
18,G:maj,D
18,G:maj,G
18,G:maj,G
18,G:maj,A
19,C:maj,C
19,C:maj,E
20,C:maj,E
20,C:maj,E
20,C:maj,D
20,C:maj,C
20,C:maj,A
20,C:maj,G
21,G:maj,E
21,G:maj,D
21,G:maj,D
22,C:maj,C
22,C:maj,E
22,C:maj,D
23,C:maj,C
23,C:maj,C
23,C:maj,C
23,C:maj,D
23,C:maj,C
23,C:maj,A
23,C:maj,G
23,C:maj,A
24,C:maj,C
24,C:maj,C
24,C:maj,D
24,C:maj,C
24,C:maj,E
24,C:maj,E
24,C:maj,G
25,D:maj,G
25,D:maj,E
25,D:maj,D
25,D:maj,C
26,G:maj,D
26,G:maj,E
26,G:maj,D
27,C:maj,C
27,C:maj,C
27,C:maj,C
27,C:maj,D
27,C:maj,C
27,C:maj,A
27,C:maj,G
27,C:maj,A
28,C:maj,C
28,C:maj,C
28,C:maj,D
28,C:maj,C
28,C:maj,E
28,C:maj,E
28,C:maj,G
29,G:maj,G
29,G:maj,E
29,G:maj,D
30,C:maj,C
30,C:maj,G
30,C:maj,A
31,C:maj,C
31,C:maj,E
31,C:maj,E
32,C:maj,E
32,C:maj,E
32,C:maj,E
32,C:maj,E
32,C:maj,D
32,C:maj,C
32,C:maj,A
32,C:maj,G
33,A:min,E
33,A:min,E
33,A:min,E
33,A:min,E
33,A:min,D
33,A:min,C
34,G:maj,D
34,G:maj,G
34,G:maj,G
34,G:maj,A
35,C:maj,C
35,C:maj,E
36,C:maj,E
36,C:maj,E
36,C:maj,D
36,C:maj,C
36,C:maj,A
36,C:maj,G
37,G:maj,E
37,G:maj,D
37,G:maj,D
38,C:maj,C
39,C:maj,C
