measure,chord,note
1,C:maj,D
1,C:maj,C
2,A:min,D
2,A:min,C
3,D:min,A
3,D:min,C
4,G:maj,D
4,G:maj,E
4,G:maj,G
5,C:maj,D
5,C:maj,C
6,A:min,D
6,A:min,C
7,D:min,A
7,D:min,C
8,G:maj,D
8,G:maj,E
8,G:maj,G
9,A#:min,G#
9,A#:min,G
10,A#:min,G#
10,A#:min,G
11,G#:maj,G
11,G#:maj,F
12,F:min,G
12,F:min,F
13,A#:min,G#
13,A#:min,G
14,D#:maj,G#
14,D#:maj,G
15,G#:maj,G
15,G#:maj,F
16,G#:maj,G
16,G#:maj,F
17,D:maj,F
17,D:maj,D#
18,D:maj,F
18,D:maj,D#
19,G:maj,D#
19,G:maj,D
20,G:maj,D#
20,G:maj,D
21,G:maj,D#
22,G:maj,D
23,G:min,D
23,G:min,D
24,C:maj,E
24,C:maj,E
25,F:maj,A
25,F:maj,A
26,F:maj,E
26,F:maj,E
27,G:min,D
27,G:min,D
28,C:maj,E
28,C:maj,E
29,F:maj,A
29,F:maj,A
30,F:maj,E
30,F:maj,E
31,G:min,A
31,G:min,G
32,G:min,A
32,G:min,G
33,C:maj,A
33,C:maj,G
34,C:maj,A
34,C:maj,G
35,F:maj,G
35,F:maj,F
36,F:maj,G
36,F:maj,F
37,D:min,G
37,D:min,F
38,D:min,G
38,D:min,F
39,E:maj,F
39,E:maj,E
40,E:maj,F
40,E:maj,E
41,A:maj,F
41,A:maj,E
42,A:maj,F
42,A:maj,E
43,D:maj,E
43,D:maj,D
44,D:maj,E
44,D:maj,D
45,G:maj,E
45,G:maj,D
46,G:maj,E
47,C:maj,D
47,C:maj,C
48,A:min,D
48,A:min,C
49,D:min,A
49,D:min,C
50,G:maj,D
50,G:maj,E
50,G:maj,G
51,C:maj,D
51,C:maj,C
52,A:min,D
52,A:min,C
53,D:min,A
53,D:min,C
54,G:maj,D
54,G:maj,E
54,G:maj,G
55,C:maj,D
56,C:maj,C
