measure,chord,note
2,C:maj,D
2,C:maj,C
2,C:maj,C
2,C:maj,A
2,C:maj,C
2,C:maj,D
3,D:min,A
3,D:min,C
3,D:min,C
4,G:maj,A
4,G:maj,G
4,G:maj,G
4,G:maj,E
4,G:maj,G
4,G:maj,E
4,G:maj,D
5,A:min,C
6,D:min,E
6,D:min,F
6,D:min,E
6,D:min,D
6,D:min,C
7,D:min,E
7,D:min,F
7,D:min,E
7,D:min,G
7,D:min,C
7,D:min,C
7,D:min,D
8,C:maj,C
9,G:maj,G
9,G:maj,A
10,C:maj,D
10,C:maj,C
10,C:maj,C
10,C:maj,B
10,C:maj,C
10,C:maj,C
10,C:maj,D
11,D:min,D
11,D:min,A
11,D:min,C
11,D:min,C
12,G:maj,A
12,G:maj,G
12,G:maj,G
12,G:maj,E
12,G:maj,G
12,G:maj,G
12,G:maj,E
13,A:min,C
13,A:min,A
13,A:min,C
14,D:min,E
14,D:min,F
14,D:min,E
14,D:min,D
14,D:min,C
14,D:min,A
15,D:min,E
15,D:min,F
15,D:min,E
15,D:min,G
15,D:min,C
15,D:min,C
15,D:min,D
16,C:maj,C
18,G:min,F
18,G:min,E
19,G:min,F
19,G:min,E
19,G:min,D
19,G:min,C
20,F:maj,E
20,F:maj,F
20,F:maj,G
20,F:maj,F
21,D:min,E
22,A:min,E
22,A:min,A
22,A:min,A
22,A:min,A
23,D:maj,E
23,D:maj,D
23,D:maj,A
23,D:maj,E
24,G:maj,D
26,G:min,F
26,G:min,E
27,G:min,F
27,G:min,E
27,G:min,E
27,G:min,D
27,G:min,C
27,G:min,C
28,F:maj,E
28,F:maj,F
28,F:maj,E
28,F:maj,E
28,F:maj,A
28,F:maj,E
29,A:maj,G
29,A:maj,A
30,D:min,C
30,D:min,A
30,D:min,G
31,F:maj,A
31,F:maj,G
31,F:maj,C
31,F:maj,C
32,D:maj,E
32,D:maj,D
33,G:maj,G
33,G:maj,A
34,C:maj,D
34,C:maj,C
34,C:maj,C
34,C:maj,A
34,C:maj,C
34,C:maj,D
35,D:min,A
35,D:min,C
35,D:min,C
36,G:maj,A
36,G:maj,G
36,G:maj,G
36,G:maj,E
36,G:maj,G
36,G:maj,E
36,G:maj,D
37,A:min,C
38,D:min,E
38,D:min,F
38,D:min,E
38,D:min,D
38,D:min,C
39,D:min,E
39,D:min,F
39,D:min,E
39,D:min,G
39,D:min,C
39,D:min,C
39,D:min,D
39,D:min,C
42,G:min,F
42,G:min,E
43,G:min,F
43,G:min,E
43,G:min,E
43,G:min,D
43,G:min,C
43,G:min,C
44,F:maj,E
44,F:maj,F
44,F:maj,E
44,F:maj,E
44,F:maj,A
44,F:maj,E
45,A:maj,G
45,A:maj,A
46,D:min,A
46,D:min,G
46,D:min,C
46,D:min,A
47,D:min,G
47,D:min,A
47,D:min,C
47,D:min,D
48,G:maj,E
48,G:maj,D
48,G:maj,E
48,G:maj,G
49,G:maj,A
49,G:maj,G
49,G:maj,A
