measure,chord,note
1,A:min,A
1,A:min,A
1,A:min,A
1,A:min,A
1,A:min,A
2,G:maj,B
2,G:maj,A
2,G:maj,G
3,A:min,A
3,A:min,A
3,A:min,A
3,A:min,B
3,A:min,D
4,A:min,E
4,A:min,E
5,E:min,G
5,E:min,G
5,E:min,E
5,E:min,E
6,G:maj,D
6,G:maj,B
6,G:maj,A
6,G:maj,G
7,A:min,A
7,A:min,B
7,A:min,B
7,A:min,D
7,A:min,B
8,A:min,A
9,A:min,A
9,A:min,A
9,A:min,A
10,G:maj,B
10,G:maj,A
10,G:maj,A
10,G:maj,G
11,A:min,A
11,A:min,A
11,A:min,C
11,A:min,D
12,A:min,E
13,E:min,G
13,E:min,G
13,E:min,E
14,G:maj,D
14,G:maj,B
14,G:maj,A
14,G:maj,G
15,A:min,A
15,A:min,B
15,A:min,B
15,A:min,D
15,A:min,B
16,A:min,A
