measure,chord,note
1,F:maj,A
1,F:maj,A
1,F:maj,A
1,F:maj,F
2,G:maj,E
2,G:maj,F
2,G:maj,E
2,G:maj,D
2,G:maj,C
2,G:maj,B
3,C:maj,C
4,C:maj,E
5,F:maj,F
5,F:maj,G
5,F:maj,A
6,G:maj,A
6,G:maj,B
6,G:maj,C
6,G:maj,D
7,E:min,B
7,E:min,G
7,E:min,F
7,E:min,E
8,A:min,C
8,A:min,A
9,D:min,C
9,D:min,D
9,D:min,E
9,D:min,F
9,D:min,F
10,G:maj,A
10,G:maj,G
10,G:maj,F
10,G:maj,E
11,C:maj,D
11,C:maj,E
12,F:maj,E
12,F:maj,F
12,F:maj,G
12,F:maj,A
12,F:maj,A
13,E:maj,A
13,E:maj,B
13,E:maj,C
13,E:maj,D
14,A:maj,F
14,A:maj,E
14,A:maj,E
14,A:maj,F
15,D:maj,G
15,D:maj,A
16,D:min,A
16,D:min,A
16,D:min,F
16,D:min,F
17,G:maj,A
17,G:maj,B
17,G:maj,B
17,G:maj,C
18,G:maj,C#
18,G:maj,D
19,G:maj,D
20,F:maj,A
20,F:maj,A
20,F:maj,A
20,F:maj,F
21,G:maj,E
21,G:maj,F
21,G:maj,E
21,G:maj,D
21,G:maj,E
21,G:maj,F
21,G:maj,A
22,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,E
23,A:min,D
23,A:min,C
23,A:min,D
23,A:min,E
24,D:min,F
24,D:min,F
24,D:min,F
24,D:min,D
25,G:maj,C
25,G:maj,D
25,G:maj,C
25,G:maj,B
25,G:maj,C
25,G:maj,D
26,C:maj,E
26,C:maj,E
26,C:maj,E
26,C:maj,F
27,C:maj,A
27,C:maj,G
28,F:maj,C
28,F:maj,C
28,F:maj,C
28,F:maj,B
29,C:maj,D
29,C:maj,C
30,C:maj,C
31,F:maj,A
31,F:maj,A
31,F:maj,A
31,F:maj,F
32,G:maj,E
32,G:maj,F
32,G:maj,E
32,G:maj,D
32,G:maj,C
32,G:maj,B
33,C:maj,C
