measure,chord,note
2,C:maj,G
2,C:maj,F#
2,C:maj,G
3,C:maj,A
3,C:maj,G
3,C:maj,C
3,C:maj,E
4,G:maj,F
5,G:maj,F
5,G:maj,C#
5,G:maj,D
5,G:maj,E
6,F:maj,F
6,F:maj,F
6,F:maj,G
6,F:maj,F
7,G:maj,E
7,G:maj,B
7,G:maj,E
7,G:maj,D
8,C:maj,G
9,G:maj,G
9,G:maj,E
9,G:maj,F
9,G:maj,F#
10,C:maj,G
10,C:maj,G
10,C:maj,F#
10,C:maj,G
11,C:maj,A
11,C:maj,G
11,C:maj,C
11,C:maj,E
12,G:maj,F
13,G:maj,F
13,G:maj,C#
13,G:maj,D
13,G:maj,E
14,F:maj,F
14,F:maj,F
14,F:maj,G
14,F:maj,F
15,G:maj,E
15,G:maj,B
15,G:maj,E
15,G:maj,E
16,C:maj,C
17,F:maj,C
18,E:maj,E
18,E:maj,D#
18,E:maj,E
19,E:maj,B
19,E:maj,G#
20,C:maj,E
20,C:maj,D
20,C:maj,E
21,C:maj,A
21,C:maj,G
21,C:maj,E
21,C:maj,D
22,F:maj,C
22,F:maj,B
22,F:maj,C
23,F:maj,F
23,F:maj,C
23,F:maj,D
23,F:maj,D#
24,E:maj,E
24,E:maj,E
24,E:maj,D#
25,G:maj,D
25,G:maj,E
25,G:maj,F
25,G:maj,F#
26,C:maj,G
26,C:maj,F#
26,C:maj,G
27,C:maj,A
27,C:maj,G
27,C:maj,C
27,C:maj,E
28,G:maj,F
29,G:maj,F
29,G:maj,C#
29,G:maj,D
29,G:maj,E
30,F:maj,F
30,F:maj,G
30,F:maj,F
31,G:maj,E
31,G:maj,B
31,G:maj,E
31,G:maj,E
32,C:maj,C
33,G#:maj,E
33,G#:maj,F
33,G#:maj,F#
34,C:maj,C
35,F:maj,C
