measure,chord,note
1,D:min,E
1,D:min,D
1,D:min,E
1,D:min,G
2,G:maj,G
2,G:maj,E
2,G:maj,D
2,G:maj,E
3,D:min,A
3,D:min,D
3,D:min,E
3,D:min,D
3,D:min,E
4,G:maj,C#
5,C:min,D
5,C:min,C
5,C:min,D
5,C:min,G
6,F:maj,G
6,F:maj,D
6,F:maj,C
6,F:maj,D
7,E:min,G
7,E:min,C
7,E:min,D
7,E:min,C
7,E:min,D
8,D#:min,C#
9,D:min,C
9,D:min,A
9,D:min,C
9,D:min,E
9,D:min,G
10,G:maj,G
10,G:maj,D#
11,E:min,D
11,E:min,B
11,E:min,D
11,E:min,F#
11,E:min,A
12,A:maj,A
12,A:maj,F
12,A:maj,E
13,F#:min,C#
13,F#:min,E
13,F#:min,G#
13,F#:min,B
14,B:maj,B
14,B:maj,G#
15,E:maj,E
15,E:maj,A#
16,G:min,A#
16,G:min,A#
16,G:min,A
16,G:min,G
16,G:min,F
17,D:min,E
17,D:min,D
17,D:min,E
17,D:min,G
18,G:maj,G
18,G:maj,E
18,G:maj,D
18,G:maj,E
19,D:min,A
19,D:min,D
19,D:min,E
19,D:min,D
19,D:min,E
20,G:maj,C#
21,C:min,D
21,C:min,C
21,C:min,D
21,C:min,G
22,F:maj,G
22,F:maj,D
22,F:maj,C
22,F:maj,D
23,E:min,G
23,E:min,C
23,E:min,D
23,E:min,C
23,E:min,D
24,D#:min,C#
25,D:min,C
25,D:min,A
25,D:min,C
25,D:min,E
25,D:min,G
26,G:maj,G
26,G:maj,D#
27,E:min,D
27,E:min,B
27,E:min,D
27,E:min,F#
27,E:min,A
28,A:maj,A
28,A:maj,B
29,D:min,C
29,D:min,A
29,D:min,G
29,D:min,F
29,D:min,E
30,G:maj,C
30,G:maj,E
30,G:maj,E
30,G:maj,C
