measure,chord,note
1,A:min,C
1,A:min,A
1,A:min,A
1,A:min,A
1,A:min,A
1,A:min,B
1,A:min,C
2,C:maj,C
2,C:maj,C
2,C:maj,A
2,C:maj,B
3,F:maj,C
3,F:maj,A
3,F:maj,A
3,F:maj,A
3,F:maj,A
3,F:maj,B
3,F:maj,C
4,C:maj,C
4,C:maj,A
4,C:maj,B
5,A:min,C
5,A:min,A
5,A:min,A
5,A:min,A
5,A:min,A
5,A:min,B
5,A:min,C
5,A:min,B
6,D:min,D
6,D:min,B
6,D:min,B
6,D:min,B
6,D:min,B
6,D:min,C
6,D:min,D
6,D:min,B
7,C:maj,E
7,C:maj,G
7,C:maj,B
7,C:maj,A
7,C:maj,C
7,C:maj,D
8,E:maj,C
8,E:maj,B
9,A:min,A
9,A:min,C
10,A:min,A
10,A:min,C
11,F:maj,A
11,F:maj,C
12,F:maj,A
12,F:maj,C
13,F:maj,A
13,F:maj,C
13,F:maj,E
14,A:min,E
14,A:min,E
14,A:min,E
14,A:min,E
14,A:min,E
15,D:min,F
15,D:min,F
15,D:min,F
15,D:min,G
16,G:maj,B
16,G:maj,A
16,G:maj,G
16,G:maj,A
16,G:maj,G
16,G:maj,F
17,E:maj,F
17,E:maj,E
19,A:min,A
19,A:min,B
19,A:min,C
19,A:min,D
19,A:min,B
20,G:maj,B
20,G:maj,A
20,G:maj,G
20,G:maj,B
20,G:maj,A
21,F:maj,A
21,F:maj,A
21,F:maj,A
21,F:maj,A
21,F:maj,A
21,F:maj,A
21,F:maj,A
22,F:maj,G
22,F:maj,G
22,F:maj,F
22,F:maj,E
23,E:maj,E
24,A:min,E
24,A:min,E
24,A:min,E
24,A:min,E
24,A:min,E
24,A:min,E
24,A:min,F
25,D:min,F
25,D:min,F
25,D:min,G
26,G:maj,B
26,G:maj,A
26,G:maj,G
26,G:maj,A
26,G:maj,G
26,G:maj,F
27,E:maj,G
27,E:maj,F
27,E:maj,E
27,E:maj,E
29,A:min,A
29,A:min,B
29,A:min,C
29,A:min,D
29,A:min,B
30,G:maj,B
30,G:maj,A
30,G:maj,G
30,G:maj,B
30,G:maj,B
31,F:maj,A
31,F:maj,A
31,F:maj,A
31,F:maj,A
31,F:maj,A
32,E:maj,A
32,E:maj,G#
32,E:maj,A
32,E:maj,B
32,E:maj,B
33,E:maj,E
33,E:maj,E
33,E:maj,E
33,E:maj,C
33,E:maj,A
34,G:maj,A
34,G:maj,G
34,G:maj,G
34,G:maj,B
34,G:maj,D
35,G:maj,D
35,G:maj,C
35,G:maj,B
35,G:maj,A
35,G:maj,G
35,G:maj,G
36,F:maj,G
36,F:maj,F
36,F:maj,F
36,F:maj,A
36,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
37,F:maj,C
38,F:maj,C
38,F:maj,C
38,F:maj,C
38,F:maj,C
38,F:maj,C
39,B:maj,B
39,B:maj,B
39,B:maj,B
39,B:maj,C
39,B:maj,B
39,B:maj,A
40,E:maj,B
41,E:maj,B
41,E:maj,B
41,E:maj,C
41,E:maj,B
41,E:maj,D
42,D:min,D
42,D:min,C
42,D:min,B
42,D:min,A
42,D:min,G
43,G:maj,B
43,G:maj,A
43,G:maj,G
43,G:maj,G
43,G:maj,F
43,G:maj,G
43,G:maj,A
44,F:maj,A
44,F:maj,G
44,F:maj,B
44,F:maj,B
44,F:maj,A
44,F:maj,G
45,E:maj,F
45,E:maj,E
46,B:min,D
46,B:min,C
46,B:min,B
46,B:min,A
46,B:min,G#
47,E:maj,G#
47,E:maj,E
48,B:min,D
48,B:min,C
48,B:min,B
48,B:min,A
48,B:min,G#
49,E:maj,G#
49,E:maj,E
50,E:maj,C
50,E:maj,B
50,E:maj,A
50,E:maj,A
50,E:maj,G#
50,E:maj,B
50,E:maj,A
51,A:min,A
52,A:min,E
52,A:min,E
52,A:min,E
52,A:min,E
52,A:min,E
52,A:min,F
53,F:maj,F
54,A:min,E
54,A:min,E
54,A:min,E
54,A:min,E
54,A:min,E
54,A:min,D
54,A:min,E
54,A:min,F
55,D:min,F
55,D:min,F
55,D:min,G
56,G:maj,B
56,G:maj,A
56,G:maj,G
56,G:maj,A
56,G:maj,A
56,G:maj,G
57,E:maj,G
57,E:maj,A
57,E:maj,G
57,E:maj,F
57,E:maj,E
59,A:min,A
59,A:min,B
59,A:min,C
59,A:min,D
59,A:min,D
60,G:maj,D
60,G:maj,B
60,G:maj,A
60,G:maj,G
60,G:maj,B
61,F:maj,A
61,F:maj,A
