measure,chord,note
1,C:maj,G
1,C:maj,G
1,C:maj,G
1,C:maj,G
2,C:maj,C
2,C:maj,G
3,F:maj,A
3,F:maj,A
3,F:maj,C
3,F:maj,B
3,F:maj,A
4,C:maj,G
5,G:maj,D
5,G:maj,E
5,G:maj,F
5,G:maj,A
6,C:maj,G
6,C:maj,E
7,D:maj,D
7,D:maj,D
7,D:maj,C
7,D:maj,B
7,D:maj,A
8,G:maj,G
9,C:maj,E
9,C:maj,F
9,C:maj,G
9,C:maj,A
10,D:min,F
10,D:min,D
11,F:maj,F
11,F:maj,G
11,F:maj,A
11,F:maj,B
12,C:maj,G
13,C:maj,E
13,C:maj,G
13,C:maj,C
13,C:maj,B
14,F:maj,B
14,F:maj,A
15,G:maj,D
15,G:maj,E
15,G:maj,G
15,G:maj,F
15,G:maj,D
16,C:maj,C
