measure,chord,note
2,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,D
2,C:maj,C
2,C:maj,B
2,C:maj,A
3,A:min,B
3,A:min,C
3,A:min,C
3,A:min,C
3,A:min,G
4,E:min,B
4,E:min,B
4,E:min,B
4,E:min,B
4,E:min,C
4,E:min,B
4,E:min,A
4,E:min,B
5,D:min,C
5,D:min,B
5,D:min,A
5,D:min,G
5,D:min,A
5,D:min,B
6,C:maj,A
6,C:maj,B
6,C:maj,A
6,C:maj,G
7,A:min,E
7,A:min,E
7,A:min,G
7,A:min,A
8,D:min,E
8,D:min,F
8,D:min,E
8,D:min,D
8,D:min,C
8,D:min,D
9,F:maj,G
9,F:maj,A
9,F:maj,C
10,C:maj,E
10,C:maj,E
10,C:maj,D
10,C:maj,C
11,C:maj,D
11,C:maj,E
11,C:maj,E
11,C:maj,E
11,C:maj,D
11,C:maj,E
12,E:min,G
12,E:min,G
12,E:min,F#
12,E:min,E
13,E:min,F#
13,E:min,G
13,E:min,G
13,E:min,G
13,E:min,E
13,E:min,G
14,F:maj,A
14,F:maj,A
14,F:maj,G
14,F:maj,F
15,F:maj,G
15,F:maj,A
15,F:maj,A
15,F:maj,A
15,F:maj,C
15,F:maj,D
16,A:min,E
16,A:min,D
16,A:min,C
16,A:min,C
17,F:maj,G
17,F:maj,A
17,F:maj,C
18,C:maj,A
18,C:maj,B
18,C:maj,A
18,C:maj,G
19,C:maj,G
19,C:maj,G
19,C:maj,A
19,C:maj,C
20,A:min,A
20,A:min,B
20,A:min,A
20,A:min,G
21,F:maj,G
21,F:maj,A
21,F:maj,C
22,C:maj,G
23,F:maj,E
23,F:maj,E
23,F:maj,E
23,F:maj,D
23,F:maj,E
23,F:maj,D
23,F:maj,C
24,F:maj,D
24,F:maj,E
24,F:maj,E
24,F:maj,E
24,F:maj,E
25,A:min,E
25,A:min,E
25,A:min,E
25,A:min,E
25,A:min,D
25,A:min,E
25,A:min,D
25,A:min,C
26,A:min,D
26,A:min,E
26,A:min,E
26,A:min,E
26,A:min,A
27,D:min,F
27,D:min,F
27,D:min,F
27,D:min,F
27,D:min,E
27,D:min,F
27,D:min,E
27,D:min,D
28,D:min,E
28,D:min,F
28,D:min,F
28,D:min,F
28,D:min,A
29,G:maj,F
29,G:maj,F
29,G:maj,F
29,G:maj,F
29,G:maj,E
29,G:maj,F
29,G:maj,E
29,G:maj,D
30,G:maj,E
30,G:maj,F
30,G:maj,F
30,G:maj,F
31,F:maj,D
31,F:maj,D
31,F:maj,E
31,F:maj,E
31,F:maj,F
31,F:maj,F#
31,F:maj,G
32,F:maj,G
32,F:maj,G
32,F:maj,G
32,F:maj,G
32,F:maj,A
32,F:maj,C
33,C:maj,E
33,C:maj,E
33,C:maj,D
33,C:maj,C
34,C:maj,D
34,C:maj,E
34,C:maj,E
34,C:maj,E
35,E:min,G
35,E:min,G
35,E:min,F#
35,E:min,E
36,E:min,F#
36,E:min,G
36,E:min,G
36,E:min,G
37,F:maj,A
37,F:maj,A
37,F:maj,G
37,F:maj,F
38,F:maj,G
38,F:maj,A
38,F:maj,A
38,F:maj,A
38,F:maj,C
38,F:maj,D
39,A:min,E
39,A:min,D
39,A:min,C
39,A:min,C
40,F:maj,G
40,F:maj,A
40,F:maj,C
41,C:maj,A
41,C:maj,B
41,C:maj,A
41,C:maj,G
42,C:maj,G
42,C:maj,A
42,C:maj,C
43,A:min,A
43,A:min,B
43,A:min,A
43,A:min,G
44,A:min,G
44,A:min,A
44,A:min,C
45,F:maj,A
45,F:maj,B
45,F:maj,A
45,F:maj,G
46,F:maj,G
46,F:maj,A
46,F:maj,C
47,D:min,D
48,F:maj,D
49,A:min,A
49,A:min,E
49,A:min,G
49,A:min,A
50,A:min,A
50,A:min,C
50,A:min,B
50,A:min,B
50,A:min,A
50,A:min,G
51,F:maj,A
51,F:maj,F
51,F:maj,G
51,F:maj,A
52,F:maj,A
52,F:maj,C
52,F:maj,B
52,F:maj,B
52,F:maj,A
52,F:maj,G
53,A:min,A
53,A:min,E
53,A:min,G
53,A:min,A
54,A:min,A
54,A:min,C
54,A:min,B
54,A:min,B
54,A:min,A
54,A:min,G
55,E:min,A
55,E:min,G
56,F:maj,G
56,F:maj,A
56,F:maj,C
56,F:maj,C
56,F:maj,D
57,D:min,F
58,D:min,D
58,D:min,D
58,D:min,D
58,D:min,E
58,D:min,D
58,D:min,C
58,D:min,A
59,A:min,A
59,A:min,A
59,A:min,A
59,A:min,C
59,A:min,A
59,A:min,G
59,A:min,A
60,A:min,A
60,A:min,A
60,A:min,B
60,A:min,C
60,A:min,F
61,D:min,F
62,D:min,D
62,D:min,D
62,D:min,D
62,D:min,E
62,D:min,D
62,D:min,C
63,A:min,A
63,A:min,C
63,A:min,C
63,A:min,C
63,A:min,B
63,A:min,C
64,A:min,D
64,A:min,C
64,A:min,B
64,A:min,C
64,A:min,C
65,C:maj,D
65,C:maj,C
65,C:maj,B
65,C:maj,C
65,C:maj,C
66,D:maj,D
66,D:maj,C
66,D:maj,B
66,D:maj,C
66,D:maj,C
66,D:maj,B
66,D:maj,C
67,G:maj,D
68,G:maj,D
68,G:maj,G
68,G:maj,C
68,G:maj,D
69,C:maj,E
69,C:maj,E
69,C:maj,D
69,C:maj,C
70,C:maj,D
70,C:maj,E
70,C:maj,E
70,C:maj,E
70,C:maj,D
70,C:maj,E
71,E:min,G
71,E:min,G
71,E:min,F#
71,E:min,E
72,E:min,F#
72,E:min,G
72,E:min,G
72,E:min,G
72,E:min,E
72,E:min,G
73,F:maj,A
73,F:maj,A
73,F:maj,G
73,F:maj,F
74,F:maj,G
74,F:maj,A
74,F:maj,A
74,F:maj,A
74,F:maj,C
74,F:maj,D
75,A:min,E
75,A:min,D
75,A:min,C
75,A:min,C
76,F:maj,G
76,F:maj,A
76,F:maj,C
77,C:maj,A
77,C:maj,E
77,C:maj,B
77,C:maj,G
77,C:maj,A
77,C:maj,G
77,C:maj,G
77,C:maj,E
77,C:maj,G
77,C:maj,G
78,C:maj,G
78,C:maj,A
78,C:maj,B
78,C:maj,C
78,C:maj,C
78,C:maj,B
78,C:maj,G
79,E:min,B
79,E:min,B
79,E:min,B
79,E:min,A
79,E:min,B
79,E:min,B
80,E:min,B
80,E:min,A
80,E:min,B
80,E:min,C
80,E:min,C
80,E:min,B
80,E:min,G
81,F:maj,A
81,F:maj,C
81,F:maj,C
81,F:maj,B
81,F:maj,C
81,F:maj,C
82,F:maj,C
82,F:maj,B
82,F:maj,C
82,F:maj,E
82,F:maj,E
82,F:maj,D
82,F:maj,C
83,A:min,C
83,A:min,C
83,A:min,C
83,A:min,A
83,A:min,G
83,A:min,C
84,F:maj,C
84,F:maj,A
84,F:maj,G
84,F:maj,C
84,F:maj,D
85,C:maj,E
85,C:maj,G
85,C:maj,G
85,C:maj,E
85,C:maj,G
85,C:maj,G
86,C:maj,G
86,C:maj,A
86,C:maj,B
86,C:maj,C
86,C:maj,C
