measure,chord,note
2,C:maj,G
3,G:maj,G
3,G:maj,G
3,G:maj,F#
3,G:maj,F
3,G:maj,D
4,C:maj,E
4,C:maj,C
4,C:maj,G
4,C:maj,G
5,G:maj,G
5,G:maj,G
5,G:maj,F#
5,G:maj,F
5,G:maj,D
6,C:maj,E
6,C:maj,C
6,C:maj,G
6,C:maj,G
7,G:maj,G
7,G:maj,E
7,G:maj,F
7,G:maj,D
7,G:maj,E
7,G:maj,C
7,G:maj,D
7,G:maj,B
8,C:maj,C
8,C:maj,G
8,C:maj,G
9,G:maj,G
9,G:maj,E
9,G:maj,F
9,G:maj,D
9,G:maj,E
9,G:maj,C
9,G:maj,D
9,G:maj,B
10,C:maj,C
11,G:maj,G
11,G:maj,G
11,G:maj,G
11,G:maj,G
11,G:maj,G
12,C:maj,G
13,G:maj,G
13,G:maj,G
13,G:maj,F#
13,G:maj,F
13,G:maj,D
14,C:maj,E
14,C:maj,C
14,C:maj,G
14,C:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,F#
15,G:maj,F
15,G:maj,D
16,C:maj,E
16,C:maj,C
16,C:maj,G
16,C:maj,G
17,G:maj,G
17,G:maj,E
17,G:maj,F
17,G:maj,D
17,G:maj,E
17,G:maj,C
17,G:maj,D
17,G:maj,B
18,C:maj,C
18,C:maj,G
18,C:maj,G
19,G:maj,G
19,G:maj,E
19,G:maj,F
19,G:maj,D
19,G:maj,E
19,G:maj,C
19,G:maj,D
19,G:maj,B
20,C:maj,C
21,G:maj,C
21,G:maj,G
22,C:maj,E
22,C:maj,C
22,C:maj,C
22,C:maj,G
23,G:maj,F
23,G:maj,D
23,G:maj,D
23,G:maj,G
24,C:maj,E
24,C:maj,C
24,C:maj,C
24,C:maj,G
25,G:maj,D
25,G:maj,B
25,G:maj,B
25,G:maj,G
26,C:maj,E
26,C:maj,C
26,C:maj,C
26,C:maj,G
27,G:maj,F
27,G:maj,D
27,G:maj,D
27,G:maj,G
28,C:maj,E
28,C:maj,C
28,C:maj,C
28,C:maj,G
29,G:maj,D
29,G:maj,B
29,G:maj,G
29,G:maj,G
29,G:maj,G
30,C:maj,G
31,G:maj,G
31,G:maj,G
31,G:maj,F#
31,G:maj,F
31,G:maj,D
32,C:maj,E
32,C:maj,C
32,C:maj,G
32,C:maj,G
33,G:maj,G
33,G:maj,G
33,G:maj,F#
33,G:maj,F
33,G:maj,D
34,C:maj,E
34,C:maj,C
34,C:maj,G
34,C:maj,G
35,G:maj,G
35,G:maj,E
35,G:maj,F
35,G:maj,D
35,G:maj,E
35,G:maj,C
35,G:maj,D
35,G:maj,B
36,C:maj,C
36,C:maj,G
36,C:maj,G
37,G:maj,G
37,G:maj,E
37,G:maj,F
37,G:maj,D
37,G:maj,E
37,G:maj,C
37,G:maj,D
37,G:maj,B
38,G:maj,C
39,C:maj,C
40,C:maj,C
41,C:maj,C
42,C:maj,E
42,C:maj,G
42,C:maj,C
42,C:maj,C
42,C:maj,E
43,F:maj,F
43,F:maj,A
43,F:maj,C
43,F:maj,E
43,F:maj,D
44,C:maj,E
44,C:maj,G
44,C:maj,C
44,C:maj,C
44,C:maj,E
45,F:maj,A
45,F:maj,C
45,F:maj,E
45,F:maj,G
45,F:maj,F
46,C:maj,E
46,C:maj,G
46,C:maj,C
46,C:maj,C
46,C:maj,E
47,F:maj,F
47,F:maj,A
47,F:maj,C
47,F:maj,E
47,F:maj,D
48,G:maj,D
48,G:maj,E
48,G:maj,F
48,G:maj,D
48,G:maj,E
48,G:maj,C
48,G:maj,D
48,G:maj,B
49,C:maj,C
49,C:maj,G
49,C:maj,G
50,G:maj,G
50,G:maj,E
50,G:maj,F
50,G:maj,D
50,G:maj,E
50,G:maj,C
50,G:maj,D
50,G:maj,B
51,C:maj,C
51,C:maj,C
